Theta,Radius,Area
0,0,0
0.0317333,0,0.150168
0.0634665,0,0.602363
0.0951998,0,1.35631
0.126933,0,2.39981
0.158666,0.41,3.70646
0.1904,0.812426,5.24537
0.222133,0.973848,6.99145
0.253866,1.08113,8.91948
0.285599,1.12426,10.9872
0.317333,1.36206,13.1315
0.349066,1.54878,15.2842
0.380799,1.67726,17.394
0.412532,1.80702,19.4425
0.444266,1.94426,21.4512
0.475999,2.02939,23.4756
0.507732,2.11448,25.5859
0.539465,2.28059,27.8345
0.571199,2.42504,30.2257
0.602932,2.55386,32.7054
0.634665,2.64966,35.1771
0.666398,2.74404,37.5317
0.698132,2.86422,39.6807
0.729865,2.91664,41.5829
0.761598,2.98228,43.2531
0.793331,3.07719,44.748
0.825065,3.10173,46.1453
0.856798,3.19088,47.5391
0.888531,3.25701,49.0479
0.920265,3.36075,50.8109
0.951998,3.45723,52.9591
0.983731,3.54541,55.5318
1.01546,3.62329,58.4067
1.0472,3.72594,61.3666
1.07893,3.74801,64.1949
1.11066,3.90439,66.719
1.1424,4.00393,68.8265
1.17413,4.04224,70.4736
1.20586,4.06944,71.6742
1.2376,4.12261,72.4728
1.26933,4.17209,72.9255
1.30106,4.1671,73.0991
1.3328,4.17807,73.0801
1.36453,4.21213,72.9758
1.39626,4.15686,72.8916
1.428,4.17145,72.8886
1.45973,4.1566,72.9486
1.49146,4.14925,72.9822
1.5232,4.15711,72.8671
1.55493,4.16159,72.4891
1.58666,4.13758,71.769
1.6184,4.10418,70.68
1.65013,4.05923,69.2581
1.68186,3.94,67.6
1.7136,3.85763,65.8429
1.74533,3.85455,64.1301
1.77706,3.84079,62.5774
1.8088,3.78527,61.2476
1.84053,3.76837,60.1398
1.87226,3.72536,59.2009
1.904,3.68365,58.355
1.93573,3.67424,57.5262
1.96746,3.64218,56.6402
1.9992,3.59757,55.6273
2.03093,3.55641,54.4419
2.06266,3.49487,53.0841
2.0944,3.43407,51.6034
2.12613,3.40142,50.078
2.15786,3.34634,48.5763
2.18959,3.28487,47.1302
2.22133,3.15166,45.7384
2.25306,3.08021,44.3774
2.28479,2.99754,43.0058
2.31653,2.97117,41.5752
2.34826,2.84926,40.0498
2.37999,2.81003,38.4236
2.41173,2.7406,36.724
2.44346,2.69119,34.9999
2.47519,2.58937,33.2955
2.50693,2.51385,31.6295
2.53866,2.43024,30.003
2.57039,2.32757,28.4141
2.60213,2.23856,26.8558
2.63386,2.13154,25.3079
2.66559,2.07025,23.7334
2.69733,2.01259,22.0858
2.72906,1.92716,20.3208
2.76079,1.85351,18.4084
2.79253,1.7324,16.3411
2.82426,1.54714,14.1383
2.85599,1.18941,11.8502
2.88773,1.02284,9.55575
2.91946,0.945563,7.35511
2.95119,0.838284,5.35284
2.98293,0.54,3.63678
3.01466,0,2.25961
3.04639,0,1.23223
3.07813,0,0.533525
3.10986,0,0.131136
3.14159,0,0
