Theta,Radius,Area
0,0,0
0.0317333,0,0.101871
0.0634665,0,0.417399
0.0951998,0,0.961187
0.126933,0.07,1.72214
0.158666,0.37,2.64734
0.1904,0.47,3.65406
0.222133,0.52,4.66197
0.253866,0.674142,5.6291
0.285599,0.944853,6.57689
0.317333,1.02971,7.59013
0.349066,1.0687,8.78292
0.380799,1.09527,10.2464
0.412532,1.29012,12.0157
0.444266,1.44963,14.0734
0.475999,1.63787,16.3745
0.507732,1.85899,18.8705
0.539465,1.94709,21.516
0.571199,2.12155,24.2564
0.602932,2.29188,27.0027
0.634665,2.38979,29.6138
0.666398,2.50328,31.9164
0.698132,2.55777,33.7651
0.729865,2.63714,35.1044
0.761598,2.68751,35.9937
0.793331,2.70489,36.5873
0.825065,2.74918,37.0839
0.856798,2.76914,37.6777
0.888531,2.80662,38.5245
0.920265,2.88028,39.7279
0.951998,2.98157,41.3411
0.983731,3.15112,43.3792
1.01546,3.23046,45.8265
1.0472,3.32751,48.6305
1.07893,3.46278,51.6848
1.11066,3.5087,54.8229
1.1424,3.59635,57.8416
1.17413,3.69856,60.5468
1.20586,3.76197,62.7958
1.2376,3.8111,64.5208
1.26933,3.89475,65.7309
1.30106,3.99475,66.503
1.3328,3.9852,66.9654
1.36453,3.98979,67.2754
1.39626,4.00255,67.5871
1.428,4.05422,68.0147
1.45973,4.08317,68.6052
1.49146,4.10701,69.333
1.5232,4.15506,70.1191
1.55493,4.18083,70.8602
1.58666,4.2132,71.4556
1.6184,4.22982,71.8349
1.65013,4.21795,71.9828
1.68186,4.13702,71.9512
1.7136,4.13197,71.85
1.74533,4.1031,71.8133
1.77706,4.10117,71.947
1.8088,4.16903,72.2781
1.84053,4.21964,72.7337
1.87226,4.24001,73.1591
1.904,4.21047,73.3565
1.93573,4.18524,73.1263
1.96746,4.15214,72.3036
1.9992,4.10937,70.7929
2.03093,4.06452,68.5973
2.06266,3.98237,65.838
2.0944,3.87023,62.7479
2.12613,3.71684,59.6298
2.15786,3.60419,56.7781
2.18959,3.50087,54.3915
2.22133,3.43802,52.5196
2.25306,3.37119,51.0698
2.28479,3.27315,49.8603
2.31653,3.1979,48.6781
2.34826,3.1038,47.3286
2.37999,3.05282,45.671
2.41173,2.97542,43.6401
2.44346,2.9364,41.2486
2.47519,2.86975,38.572
2.50693,2.78932,35.7229
2.53866,2.53101,32.8253
2.57039,2.32528,29.9955
2.60213,2.19271,27.3296
2.63386,2.11802,24.8935
2.66559,2.07473,22.7116
2.69733,2.01657,20.7599
2.72906,1.90227,18.9692
2.76079,1.69255,17.244
2.79253,1.50774,15.4935
2.82426,1.36899,13.6612
2.85599,1.16941,11.7409
2.88773,1.06698,9.77403
2.91946,0.999706,7.83221
2.95119,0.896569,5.99312
2.98293,0.67,4.32164
3.01466,0.1,2.86556
3.04639,0,1.66438
3.07813,0,0.759291
3.10986,0,0.193112
3.14159,0,9.09495e-13
