Theta,Radius,Area
0,0,0
0.0317333,0,0.148931
0.0634665,0,0.586258
0.0951998,0,1.28697
0.126933,0,2.2177
0.158666,0.06,3.34201
0.1904,0.41,4.6211
0.222133,0.813137,6.01265
0.253866,0.988701,7.47131
0.285599,1.1023,8.95198
0.317333,1.1635,10.4169
0.349066,1.23032,11.8451
0.380799,1.31132,13.2398
0.412532,1.409,14.6324
0.444266,1.58457,16.0784
0.475999,1.71207,17.6437
0.507732,1.77512,19.38
0.539465,1.83347,21.3053
0.571199,1.97157,23.397
0.602932,2.15606,25.6007
0.634665,2.21713,27.8482
0.666398,2.37531,30.0779
0.698132,2.55679,32.2483
0.729865,2.68023,34.3363
0.761598,2.74131,36.3245
0.793331,2.8514,38.1904
0.825065,2.90361,39.9081
0.856798,2.95204,41.458
0.888531,3.00479,42.8358
0.920265,3.11753,44.0531
0.951998,3.18506,45.1307
0.983731,3.26913,46.088
1.01546,3.28699,46.9342
1.0472,3.25339,47.6718
1.07893,3.32208,48.3088
1.11066,3.38452,48.8749
1.1424,3.41869,49.4259
1.17413,3.4259,50.0323
1.20586,3.48153,50.7623
1.2376,3.5116,51.6708
1.26933,3.57023,52.8017
1.30106,3.6032,54.1904
1.3328,3.70274,55.86
1.36453,3.74377,57.8063
1.39626,3.82059,59.9788
1.428,3.92809,62.2688
1.45973,3.99459,64.5077
1.49146,4.08762,66.487
1.5232,4.13613,67.9979
1.55493,4.14908,68.8748
1.58666,4.13438,69.0316
1.6184,4.13082,68.4898
1.65013,4.07369,67.3768
1.68186,4.01601,65.8867
1.7136,3.93946,64.2342
1.74533,3.88294,62.6257
1.77706,3.85991,61.2415
1.8088,3.79547,60.2117
1.84053,3.77231,59.5595
1.87226,3.71632,59.1787
1.904,3.6894,58.8934
1.93573,3.67031,58.5308
1.96746,3.66046,57.9596
1.9992,3.65774,57.1032
2.03093,3.59043,55.9442
2.06266,3.52388,54.5274
2.0944,3.47362,52.9597
2.12613,3.42465,51.393
2.15786,3.3834,49.9755
2.18959,3.36367,48.7896
2.22133,3.27611,47.8263
2.25306,3.19515,47.0154
2.28479,3.15725,46.2731
2.31653,3.12008,45.5258
2.34826,3.08806,44.7001
2.37999,3.06078,43.7126
2.41173,3.03264,42.4844
2.44346,2.95755,40.9571
2.47519,2.85766,39.1007
2.50693,2.77471,36.9191
2.53866,2.59342,34.4558
2.57039,2.45672,31.7914
2.60213,2.35197,29.0279
2.63386,2.23389,26.2594
2.66559,2.02263,23.5484
2.69733,1.87916,20.9209
2.72906,1.63197,18.3821
2.76079,1.49857,15.9387
2.79253,1.33376,13.6097
2.82426,1.21539,11.4244
2.85599,1.14912,9.41139
2.88773,0.993848,7.59118
2.91946,0.846569,5.97089
2.95119,0.64,4.54387
2.98293,0.08,3.29494
3.01466,0,2.21289
3.04639,0,1.30514
3.07813,0,0.603616
3.10986,0,0.154941
3.14159,0,1.28622e-12
