Theta,Radius,Area
0,0,0
0.0317333,0,0.076877
0.0634665,0,0.323589
0.0951998,0,0.783349
0.126933,0,1.51274
0.158666,0,2.56384
0.1904,0.06,3.96877
0.222133,0.781421,5.73094
0.253866,1.06012,7.82364
0.285599,1.20296,10.1929
0.317333,1.27656,12.7611
0.349066,1.5202,15.4308
0.380799,1.73571,18.0915
0.412532,1.8799,20.6341
0.444266,1.9704,22.9734
0.475999,2.04219,25.0713
0.507732,2.129,26.9523
0.539465,2.26292,28.7026
0.571199,2.39333,30.4452
0.602932,2.48633,32.2969
0.634665,2.56795,34.3236
0.666398,2.67796,36.5155
0.698132,2.76208,38.7919
0.729865,2.94333,41.0258
0.761598,2.96122,43.0809
0.793331,2.99877,44.8539
0.825065,3.02384,46.3137
0.856798,3.10136,47.5221
0.888531,3.20709,48.6292
0.920265,3.34936,49.8385
0.951998,3.39435,51.3509
0.983731,3.41511,53.3029
1.01546,3.46563,55.7238
1.0472,3.59059,58.5264
1.07893,3.72421,61.5258
1.11066,3.86862,64.4756
1.1424,3.98836,67.1127
1.17413,4.06099,69.2036
1.20586,4.12265,70.5826
1.2376,4.15469,71.18
1.26933,4.16732,71.0342
1.30106,4.13231,70.2858
1.3328,4.10224,69.152
1.36453,4.07266,67.8862
1.39626,4.04007,66.7337
1.428,4.01265,65.8975
1.45973,4.00883,65.5154
1.49146,3.99838,65.6452
1.5232,4.01059,66.2565
1.55493,4.04349,67.2303
1.58666,4.04998,68.3718
1.6184,4.1126,69.4349
1.65013,4.14103,70.1656
1.68186,4.17811,70.3574
1.7136,4.16536,69.8991
1.74533,4.12591,68.7954
1.77706,4.1012,67.1594
1.8088,4.01217,65.1835
1.84053,3.93653,63.0947
1.87226,3.89186,61.0995
1.904,3.81947,59.3263
1.93573,3.78023,57.7941
1.96746,3.71608,56.4326
1.9992,3.63064,55.126
2.03093,3.58945,53.7559
2.06266,3.51444,52.2365
2.0944,3.43725,50.5376
2.12613,3.42645,48.691
2.15786,3.36572,46.777
2.18959,3.31021,44.8989
2.22133,3.13844,43.1535
2.25306,3.04713,41.6095
2.28479,2.99625,40.2944
2.31653,2.97399,39.1905
2.34826,2.93184,38.2367
2.37999,2.85647,37.3338
2.41173,2.80104,36.355
2.44346,2.74254,35.1635
2.47519,2.61795,33.6402
2.50693,2.4881,31.7138
2.53866,2.32437,29.3846
2.57039,2.20453,26.7284
2.60213,2.02534,23.8792
2.63386,1.90873,20.9978
2.66559,1.71159,18.2395
2.69733,1.59228,15.7311
2.72906,1.45141,13.5581
2.76079,1.27841,11.76
2.79253,1.11598,10.3293
2.82426,1.10355,9.21268
2.85599,1.07698,8.31581
2.88773,1.04627,7.51523
2.91946,0.977279,6.68191
2.95119,0.866569,5.71595
2.98293,0.62,4.58141
3.01466,0.33,3.32541
3.04639,0,2.0722
3.07813,0,0.99287
3.10986,0,0.259851
3.14159,0,0
