Theta,Radius,Area
0,0,0
0.0317333,0,0.469019
0.0634665,0,1.87767
0.0951998,0.4,4.22763
0.126933,0.958284,7.51309
0.158666,1.28083,11.7128
0.1904,1.62231,16.7875
0.222133,1.96469,22.6837
0.253866,2.47384,29.3434
0.285599,2.71218,36.7097
0.317333,3.02905,44.7263
0.349066,3.42608,53.3296
0.380799,3.75833,62.4374
0.412532,4.08854,71.9408
0.444266,4.40942,81.7033
0.475999,4.6853,91.5728
0.507732,4.9828,101.405
0.539465,5.24454,111.091
0.571199,5.48973,120.578
0.602932,5.72683,129.873
0.634665,5.97123,139.028
0.666398,6.19593,148.104
0.698132,6.49342,157.142
0.729865,6.63472,166.14
0.761598,6.86455,175.041
0.793331,7.01126,183.741
0.825065,7.17868,192.101
0.856798,7.34018,199.96
0.888531,7.52381,207.157
0.920265,7.61722,213.551
0.951998,7.72383,219.055
0.983731,7.80011,223.662
1.01546,7.8536,227.47
1.0472,7.8821,230.672
1.07893,7.86603,233.523
1.11066,7.9377,236.279
1.1424,7.99155,239.129
1.17413,8.05827,242.15
1.20586,8.18577,245.29
1.2376,8.23289,248.405
1.26933,8.29525,251.313
1.30106,8.34869,253.857
1.3328,8.36957,255.945
1.36453,8.37967,257.562
1.39626,8.35634,258.755
1.428,8.39546,259.618
1.45973,8.44102,260.28
1.49146,8.47193,260.905
1.5232,8.48192,261.681
1.55493,8.52065,262.79
1.58666,8.56753,264.358
1.6184,8.55642,266.404
1.65013,8.53773,268.805
1.68186,8.63226,271.313
1.7136,8.65693,273.605
1.74533,8.70473,275.355
1.77706,8.68135,276.295
1.8088,8.68373,276.257
1.84053,8.63587,275.183
1.87226,8.61074,273.119
1.904,8.56644,270.192
1.93573,8.50994,266.583
1.96746,8.44005,262.497
1.9992,8.36731,258.134
2.03093,8.25603,253.655
2.06266,8.20731,249.156
2.0944,8.14126,244.65
2.12613,8.02752,240.062
2.15786,7.85306,235.253
2.18959,7.78574,230.066
2.22133,7.70968,224.371
2.25306,7.61108,218.099
2.28479,7.5101,211.254
2.31653,7.37189,203.898
2.34826,7.17799,196.116
2.37999,6.98446,187.982
2.41173,6.86441,179.535
2.44346,6.67627,170.771
2.47519,6.44469,161.656
2.50693,6.26163,152.144
2.53866,6.0043,142.187
2.57039,5.73922,131.756
2.60213,5.48842,120.862
2.63386,5.24717,109.573
2.66559,4.83112,98.0276
2.69733,4.50003,86.4341
2.72906,4.22046,75.0427
2.76079,3.88935,64.1089
2.79253,3.4788,53.8541
2.82426,3.03756,44.4381
2.85599,2.64553,35.95
2.88773,2.36911,28.4158
2.91946,1.88394,21.818
2.95119,1.67378,16.1194
2.98293,1.4064,11.2837
3.01466,0.7,7.29033
3.04639,0.45,4.14066
3.07813,0,1.85576
3.10986,0,0.466587
3.14159,0,2.03369e-12
