Theta,Radius,Area
0,0,0
0.0317333,0,0.293246
0.0634665,0,1.17914
0.0951998,0,2.67281
0.126933,0.42,4.78924
0.158666,1.05698,7.53092
0.1904,1.22907,10.875
0.222133,1.39143,14.7638
0.253866,1.76755,19.101
0.285599,2.10467,23.7589
0.317333,2.30843,28.5962
0.349066,2.52697,33.4842
0.380799,2.77511,38.3337
0.412532,3.06066,43.1141
0.444266,3.23549,47.8567
0.475999,3.44165,52.6403
0.507732,3.59036,57.565
0.539465,3.75898,62.7219
0.571199,4.00016,68.1658
0.602932,4.15903,73.8976
0.634665,4.31502,79.8567
0.666398,4.47872,85.9252
0.698132,4.67704,91.9441
0.729865,4.83424,97.738
0.761598,4.96298,103.143
0.793331,5.10952,108.031
0.825065,5.25446,112.327
0.856798,5.35992,116.015
0.888531,5.4624,119.13
0.920265,5.54639,121.737
0.951998,5.60887,123.902
0.983731,5.62846,125.664
1.01546,5.66143,127.019
1.0472,5.6936,127.925
1.07893,5.70787,128.325
1.11066,5.70215,128.181
1.1424,5.69354,127.503
1.17413,5.68595,126.354
1.20586,5.63447,124.849
1.2376,5.62325,123.131
1.26933,5.59045,121.343
1.30106,5.54299,119.595
1.3328,5.5025,117.942
1.36453,5.45584,116.366
1.39626,5.42979,114.783
1.428,5.35237,113.073
1.45973,5.28646,111.114
1.49146,5.20655,108.823
1.5232,5.08844,106.184
1.55493,5.01969,103.248
1.58666,4.93429,100.115
1.6184,4.81501,96.9065
1.65013,4.73087,93.7366
1.68186,4.65726,90.6977
1.7136,4.5826,87.8508
1.74533,4.50899,85.2273
1.77706,4.44844,82.8313
1.8088,4.37342,80.6358
1.84053,4.26748,78.5687
1.87226,4.15776,76.5044
1.904,4.09082,74.2857
1.93573,4.01249,71.782
1.96746,3.94557,68.9444
1.9992,3.85956,65.8232
2.03093,3.74957,62.5462
2.06266,3.64031,59.2762
2.0944,3.42664,56.1675
2.12613,3.29395,53.3356
2.15786,3.22403,50.8439
2.18959,3.1968,48.7043
2.22133,3.11279,46.8883
2.25306,3.07622,45.3392
2.28479,3.04341,43.9768
2.31653,3.00966,42.6923
2.34826,2.83308,41.3497
2.37999,2.73631,39.8221
2.41173,2.65015,38.0518
2.44346,2.59708,36.0904
2.47519,2.57963,34.087
2.50693,2.55019,32.2278
2.53866,2.52323,30.6653
2.57039,2.51681,29.4829
2.60213,2.49224,28.692
2.63386,2.48813,28.231
2.66559,2.43632,27.9649
2.69733,2.42092,27.7028
2.72906,2.49483,27.2394
2.76079,2.48502,26.4045
2.79253,2.44423,25.0974
2.82426,2.38244,23.2888
2.85599,2.21165,21.0006
2.88773,2.01825,18.2908
2.91946,1.78705,15.2579
2.95119,1.48946,12.0526
2.98293,1.2428,8.8724
3.01466,0.72,5.93531
3.04639,0.53,3.4448
3.07813,0.07,1.5622
3.10986,0,0.394876
3.14159,0,0
