Theta,Radius,Area
0,0,0
0.0317333,0,0.461246
0.0634665,0,1.81719
0.0951998,0.37,3.99204
0.126933,0.7,6.88339
0.158666,1.18815,10.3925
0.1904,1.60203,14.4551
0.222133,1.76318,19.0617
0.253866,2.07385,24.2583
0.285599,2.4658,30.1247
0.317333,2.66771,36.736
0.349066,3.0177,44.121
0.380799,3.40893,52.2292
0.412532,3.71769,60.9178
0.444266,4.07837,69.9625
0.475999,4.32846,79.0932
0.507732,4.52869,88.0458
0.539465,4.85107,96.6197
0.571199,5.1105,104.726
0.602932,5.2789,112.412
0.634665,5.47322,119.853
0.666398,5.69336,127.305
0.698132,5.86828,135.027
0.729865,6.00787,143.206
0.761598,6.27648,151.898
0.793331,6.48027,161.034
0.825065,6.63179,170.447
0.856798,6.82912,179.924
0.888531,7.08419,189.237
0.920265,7.24229,198.154
0.951998,7.40611,206.445
0.983731,7.60527,213.913
1.01546,7.6816,220.43
1.0472,7.7907,225.966
1.07893,7.84892,230.589
1.11066,7.91645,234.436
1.1424,7.9667,237.675
1.17413,8.02046,240.452
1.20586,8.08384,242.858
1.2376,8.12956,244.904
1.26933,8.12866,246.544
1.30106,8.14799,247.705
1.3328,8.17189,248.333
1.36453,8.16397,248.437
1.39626,8.15263,248.109
1.428,8.16155,247.517
1.45973,8.1716,246.888
1.49146,8.1721,246.473
1.5232,8.17994,246.514
1.55493,8.18513,247.206
1.58666,8.15204,248.656
1.6184,8.19952,250.844
1.65013,8.22036,253.595
1.68186,8.25182,256.587
1.7136,8.35027,259.387
1.74533,8.38834,261.521
1.77706,8.40512,262.568
1.8088,8.39243,262.237
1.84053,8.3516,260.416
1.87226,8.28459,257.186
1.904,8.2125,252.791
1.93573,8.08288,247.588
1.96746,7.98199,241.976
1.9992,7.91564,236.327
2.03093,7.8404,230.927
2.06266,7.69997,225.929
2.0944,7.62041,221.349
2.12613,7.52613,217.075
2.15786,7.46831,212.908
2.18959,7.35165,208.594
2.22133,7.25365,203.87
2.25306,7.14482,198.504
2.28479,6.98799,192.331
2.31653,6.86217,185.283
2.34826,6.74622,177.405
2.37999,6.54833,168.848
2.41173,6.36174,159.828
2.44346,6.15897,150.576
2.47519,5.95621,141.265
2.50693,5.72865,131.973
2.53866,5.5662,122.682
2.57039,5.29519,113.318
2.60213,5.01653,103.82
2.63386,4.68116,94.1934
2.66559,4.49327,84.5331
2.69733,4.21701,75.004
2.72906,3.88089,65.7935
2.76079,3.59521,57.0589
2.79253,3.32953,48.8899
2.82426,2.90984,41.3044
2.85599,2.61544,34.276
2.88773,2.3638,27.7769
2.91946,1.97182,21.8086
2.95119,1.70322,16.4101
2.98293,1.1377,11.6471
3.01466,1.03314,7.59787
3.04639,0.65,4.34204
3.07813,0,1.95304
3.10986,0,0.491937
3.14159,0,3.63798e-12
