Theta,Radius,Area
0,0,0
0.0317333,0,0.446752
0.0634665,0,1.76701
0.0951998,0.36,3.90341
0.126933,0.7,6.76916
0.158666,1.18626,10.2604
0.1904,1.584,14.2699
0.222133,1.74449,18.6983
0.253866,1.99903,23.4588
0.285599,2.27705,28.4755
0.317333,2.66892,33.6811
0.349066,2.94999,39.0156
0.380799,3.08455,44.4283
0.412532,3.29892,49.8825
0.444266,3.52835,55.3612
0.475999,3.75033,60.8729
0.507732,3.9542,66.455
0.539465,4.17798,72.1713
0.571199,4.33169,78.1008
0.602932,4.51008,84.3195
0.634665,4.73637,90.8773
0.666398,4.9389,97.7759
0.698132,5.1992,104.953
0.729865,5.37774,112.279
0.761598,5.59826,119.566
0.793331,5.74128,126.588
0.825065,5.88026,133.114
0.856798,6.00505,138.933
0.888531,6.11219,143.881
0.920265,6.21902,147.855
0.951998,6.28474,150.825
0.983731,6.34216,152.836
1.01546,6.38479,153.998
1.0472,6.40127,154.468
1.07893,6.41779,154.432
1.11066,6.41597,154.075
1.1424,6.43672,153.555
1.17413,6.40718,152.982
1.20586,6.36591,152.404
1.2376,6.40378,151.802
1.26933,6.41714,151.113
1.30106,6.41729,150.268
1.3328,6.39003,149.221
1.36453,6.37326,147.973
1.39626,6.3477,146.573
1.428,6.30794,145.116
1.45973,6.2521,143.733
1.49146,6.23566,142.571
1.5232,6.19519,141.753
1.55493,6.21936,141.339
1.58666,6.19792,141.3
1.6184,6.1755,141.554
1.65013,6.16931,142.011
1.68186,6.21046,142.601
1.7136,6.21442,143.259
1.74533,6.24168,143.893
1.77706,6.26844,144.378
1.8088,6.28343,144.575
1.84053,6.30208,144.371
1.87226,6.26521,143.705
1.904,6.28213,142.579
1.93573,6.23241,141.042
1.96746,6.22819,139.162
1.9992,6.23174,136.983
2.03093,6.2429,134.514
2.06266,6.20583,131.744
2.0944,6.12792,128.673
2.12613,6.05737,125.322
2.15786,5.9737,121.733
2.18959,5.87395,117.96
2.22133,5.77941,114.067
2.25306,5.73987,110.124
2.28479,5.67879,106.193
2.31653,5.54562,102.335
2.34826,5.42673,98.6082
2.37999,5.34253,95.0453
2.41173,5.25163,91.6155
2.44346,5.07879,88.2177
2.47519,4.91395,84.7071
2.50693,4.77045,80.9324
2.53866,4.63584,76.7737
2.57039,4.4458,72.1757
2.60213,4.23809,67.1622
2.63386,4.05118,61.8266
2.66559,3.89872,56.3022
2.69733,3.63249,50.7258
2.72906,3.46188,45.2084
2.76079,3.2535,39.823
2.79253,2.93457,34.6101
2.82426,2.62108,29.5926
2.85599,2.22346,24.7926
2.88773,2.05936,20.2434
2.91946,1.80014,15.9929
2.95119,1.50823,12.1005
2.98293,1.21314,8.63254
3.01466,0.7,5.65823
3.04639,0.44,3.24701
3.07813,0,1.46523
3.10986,0,0.369821
3.14159,0,0
