Theta,Radius,Area
0,0,0
0.0317333,0,0.12525
0.0634665,0,0.504507
0.0951998,0,1.14554
0.126933,0,2.05443
0.158666,0.15,3.23048
0.1904,0.63,4.66397
0.222133,0.830711,6.33774
0.253866,0.949706,8.2319
0.285599,1.10284,10.3286
0.317333,1.36141,12.6122
0.349066,1.50436,15.0635
0.380799,1.61471,17.6511
0.412532,1.68381,20.329
0.444266,1.9751,23.0417
0.475999,2.1179,25.7334
0.507732,2.24781,28.356
0.539465,2.50969,30.8739
0.571199,2.60704,33.2639
0.602932,2.68139,35.5141
0.634665,2.74628,37.6251
0.666398,2.84494,39.612
0.698132,2.96676,41.502
0.729865,3.05708,43.3216
0.761598,3.09469,45.0832
0.793331,3.17625,46.7897
0.825065,3.22722,48.4573
0.856798,3.31061,50.1369
0.888531,3.36272,51.9157
0.920265,3.46529,53.8924
0.951998,3.58128,56.139
0.983731,3.68436,58.6676
1.01546,3.74755,61.4171
1.0472,3.78806,64.2592
1.07893,3.8404,67.0161
1.11066,3.99679,69.4886
1.1424,4.07299,71.4898
1.17413,4.13104,72.884
1.20586,4.16155,73.6196
1.2376,4.18353,73.7435
1.26933,4.17778,73.391
1.30106,4.17526,72.7537
1.3328,4.15265,72.0379
1.36453,4.15766,71.4233
1.39626,4.16917,71.0318
1.428,4.16501,70.9064
1.45973,4.17788,71.0025
1.49146,4.16777,71.1976
1.5232,4.18929,71.3203
1.55493,4.17176,71.1939
1.58666,4.16069,70.6788
1.6184,4.13927,69.7029
1.65013,4.07429,68.2748
1.68186,4.01767,66.4808
1.7136,3.98449,64.4686
1.74533,3.95526,62.4177
1.77706,3.91555,60.5068
1.8088,3.83154,58.8832
1.84053,3.75303,57.6399
1.87226,3.72896,56.807
1.904,3.71254,56.3667
1.93573,3.67569,56.2758
1.96746,3.65212,56.4734
1.9992,3.63765,56.8726
2.03093,3.67231,57.3509
2.06266,3.67787,57.7556
2.0944,3.64352,57.928
2.12613,3.64033,57.7373
2.15786,3.58452,57.1055
2.18959,3.54127,56.014
2.22133,3.48936,54.4922
2.25306,3.41782,52.5955
2.28479,3.32277,50.3822
2.31653,3.1996,47.9007
2.34826,3.09698,45.1923
2.37999,3.02393,42.3055
2.41173,2.9108,39.3054
2.44346,2.78336,36.2688
2.47519,2.63844,33.272
2.50693,2.42394,30.3804
2.53866,2.33378,27.6442
2.57039,2.19915,25.1003
2.60213,2.06285,22.7766
2.63386,1.97469,20.69
2.66559,1.90144,18.8367
2.69733,1.79774,17.1843
2.72906,1.63468,15.6764
2.76079,1.57524,14.2455
2.79253,1.49759,12.8298
2.82426,1.4289,11.3873
2.85599,1.29622,9.90781
2.88773,1.05456,8.41351
2.91946,0.809706,6.94208
2.95119,0.587279,5.52241
2.98293,0.436569,4.16784
3.01466,0.11,2.89623
3.04639,0,1.75506
3.07813,0,0.827723
3.10986,0,0.21499
3.14159,0,0
