Theta,Radius,Area
0,0,0
0.0317333,0,1.08708
0.0634665,0.54,4.35574
0.0951998,1.08698,9.8162
0.126933,1.70553,17.4526
0.158666,2.38955,27.1947
0.1904,2.83934,38.9091
0.222133,3.40204,52.4166
0.253866,4.03996,67.533
0.285599,4.51593,84.1151
0.317333,5.032,102.091
0.349066,5.50764,121.461
0.380799,6.03951,142.273
0.412532,6.51576,164.579
0.444266,6.88253,188.399
0.475999,7.44282,213.665
0.507732,7.92894,240.185
0.539465,8.33574,267.593
0.571199,8.83749,295.33
0.602932,9.12734,322.658
0.634665,9.46528,348.723
0.666398,9.91357,372.666
0.698132,10.1097,393.751
0.729865,10.3419,411.489
0.761598,10.5673,425.72
0.793331,10.6965,436.618
0.825065,10.8221,444.624
0.856798,10.9105,450.302
0.888531,10.9429,454.181
0.920265,11.0022,456.611
0.951998,11.0655,457.675
0.983731,11.113,457.181
1.01546,11.1096,454.759
1.0472,11.0919,450.049
1.07893,11.0201,442.922
1.11066,10.8663,433.636
1.1424,10.7237,422.873
1.17413,10.6554,411.657
1.20586,10.4758,401.186
1.2376,10.3455,392.625
1.26933,10.2493,386.902
1.30106,10.2055,384.545
1.3328,10.1675,385.61
1.36453,10.2577,389.686
1.39626,10.3662,395.972
1.428,10.5084,403.378
1.45973,10.6115,410.645
1.49146,10.7278,416.477
1.5232,10.769,419.727
1.55493,10.7841,419.606
1.58666,10.6801,415.875
1.6184,10.6378,408.912
1.65013,10.5373,399.619
1.68186,10.475,389.197
1.7136,10.3153,378.851
1.74533,10.1134,369.506
1.77706,10.0093,361.589
1.8088,9.87205,354.937
1.84053,9.7923,348.857
1.87226,9.73294,342.355
1.904,9.592,334.418
1.93573,9.4301,324.246
1.96746,9.26238,311.435
1.9992,8.94639,296.108
2.03093,8.66241,278.917
2.06266,8.36728,260.895
2.0944,8.00935,243.192
2.12613,7.72728,226.807
2.15786,7.47828,212.424
2.18959,7.23501,200.353
2.22133,7.00134,190.562
2.25306,6.89275,182.723
2.28479,6.74372,176.266
2.31653,6.71366,170.466
2.34826,6.61019,164.545
2.37999,6.43451,157.816
2.41173,6.26549,149.791
2.44346,6.02166,140.279
2.47519,5.71327,129.443
2.50693,5.47299,117.799
2.53866,5.08098,106.107
2.57039,4.80597,95.1747
2.60213,4.5701,85.6498
2.63386,4.31672,77.8833
2.66559,4.15626,71.9023
2.69733,4.01693,67.4639
2.72906,3.83817,64.1351
2.76079,3.74754,61.3591
2.79253,3.66233,58.5138
2.82426,3.49577,54.9944
2.85599,3.26749,50.3338
2.88773,3.09798,44.3293
2.91946,2.76905,37.1205
2.95119,2.45343,29.1796
2.98293,1.95119,21.1988
3.01466,1.55709,13.9088
3.04639,1.08971,7.89719
3.07813,0.5,3.51057
3.10986,0,0.87527
3.14159,0,0
