Theta,Radius,Area
0,0,0
0.0317333,0,1.08942
0.0634665,0.54,4.36427
0.0951998,1.08698,9.83262
0.126933,1.71317,17.4761
0.158666,2.39547,27.2227
0.1904,2.8486,38.9386
0.222133,3.40783,52.446
0.253866,4.04754,67.5633
0.285599,4.51785,84.1502
0.317333,5.02057,102.137
0.349066,5.523,121.523
0.380799,6.05541,142.357
0.412532,6.51119,164.69
0.444266,6.89042,188.534
0.475999,7.46934,213.82
0.507732,7.96186,240.351
0.539465,8.36126,267.758
0.571199,8.85247,295.483
0.602932,9.15514,322.79
0.634665,9.47566,348.832
0.666398,9.9123,372.755
0.698132,10.1194,393.826
0.729865,10.3262,411.559
0.761598,10.5688,425.793
0.793331,10.7041,436.701
0.825065,10.8372,444.716
0.856798,10.9118,450.395
0.888531,10.933,454.262
0.920265,11.009,456.663
0.951998,11.0595,457.68
0.983731,11.1236,457.124
1.01546,11.1263,454.631
1.0472,11.0744,449.847
1.07893,10.9878,442.65
1.11066,10.8597,433.306
1.1424,10.7281,422.505
1.17413,10.6613,411.277
1.20586,10.4677,400.82
1.2376,10.3208,392.3
1.26933,10.29,386.636
1.30106,10.2066,384.351
1.3328,10.1716,385.489
1.36453,10.2462,389.634
1.39626,10.4032,395.977
1.428,10.5207,403.429
1.45973,10.6168,410.737
1.49146,10.7172,416.612
1.5232,10.7888,419.905
1.55493,10.7734,419.823
1.58666,10.6984,416.115
1.6184,10.6472,409.15
1.65013,10.5699,399.826
1.68186,10.5003,389.346
1.7136,10.3346,378.922
1.74533,10.1392,369.491
1.77706,9.99955,361.503
1.8088,9.86859,354.825
1.84053,9.79389,348.775
1.87226,9.69158,342.332
1.904,9.57895,334.451
1.93573,9.41739,324.314
1.96746,9.24594,311.517
1.9992,8.93962,296.19
2.03093,8.70926,278.992
2.06266,8.35931,260.961
2.0944,8.01703,243.25
2.12613,7.72819,226.864
2.15786,7.49276,212.486
2.18959,7.24664,200.425
2.22133,7.03652,190.644
2.25306,6.90019,182.811
2.28479,6.72582,176.359
2.31653,6.70471,170.56
2.34826,6.6037,164.637
2.37999,6.43237,157.9
2.41173,6.2706,149.866
2.44346,6.00464,140.344
2.47519,5.72666,129.501
2.50693,5.46806,117.852
2.53866,5.08191,106.156
2.57039,4.82054,95.2215
2.60213,4.58114,85.693
2.63386,4.33695,77.9206
2.66559,4.17479,71.9305
2.69733,4.01504,67.4798
2.72906,3.83965,64.1359
2.76079,3.73368,61.3438
2.79253,3.67035,58.4834
2.82426,3.49147,54.9523
2.85599,3.27066,50.2851
2.88773,3.09198,44.2794
2.91946,2.76905,37.0744
2.95119,2.4583,29.1407
2.98293,1.92705,21.169
3.01466,1.55295,13.8881
3.04639,1.07971,7.88455
3.07813,0.5,3.50452
3.10986,0,0.873668
3.14159,0,2.27374e-13
