Theta,Radius,Area
0,0,0
0.0317333,0,0.443864
0.0634665,0,1.75828
0.0951998,0.19,3.8971
0.126933,0.864558,6.79787
0.158666,1.21953,10.3945
0.1904,1.50951,14.6258
0.222133,1.75978,19.4425
0.253866,2.06875,24.8144
0.285599,2.42987,30.735
0.317333,2.79747,37.2177
0.349066,3.05061,44.2801
0.380799,3.4004,51.9207
0.412532,3.73913,60.0921
0.444266,3.98697,68.6776
0.475999,4.29743,77.4793
0.507732,4.61905,86.2262
0.539465,4.85869,94.6113
0.571199,5.09071,102.351
0.602932,5.23142,109.245
0.634665,5.40583,115.221
0.666398,5.507,120.34
0.698132,5.65417,124.775
0.729865,5.73919,128.769
0.761598,5.84757,132.579
0.793331,5.95295,136.43
0.825065,6.09904,140.469
0.856798,6.19289,144.744
0.888531,6.24098,149.188
0.920265,6.37159,153.626
0.951998,6.42696,157.802
0.983731,6.49344,161.419
1.01546,6.5729,164.179
1.0472,6.58803,165.828
1.07893,6.60746,166.187
1.11066,6.61216,165.188
1.1424,6.5521,162.901
1.17413,6.47723,159.543
1.20586,6.40923,155.444
1.2376,6.30723,150.98
1.26933,6.18079,146.5
1.30106,6.13444,142.257
1.3328,6.08247,138.378
1.36453,6.00701,134.875
1.39626,5.92107,131.689
1.428,5.83163,128.733
1.45973,5.75263,125.917
1.49146,5.6954,123.14
1.5232,5.60874,120.313
1.55493,5.50142,117.377
1.58666,5.47454,114.302
1.6184,5.37237,111.08
1.65013,5.28183,107.722
1.68186,5.16374,104.258
1.7136,5.0351,100.722
1.74533,4.93456,97.1317
1.77706,4.7949,93.4768
1.8088,4.66306,89.7126
1.84053,4.55449,85.7616
1.87226,4.39002,81.531
1.904,4.20863,76.9496
1.93573,4.05831,72.0168
1.96746,3.89425,66.8449
1.9992,3.71349,61.6675
2.03093,3.57854,56.7992
2.06266,3.40805,52.5494
2.0944,3.27573,49.116
2.12613,3.1812,46.5185
2.15786,3.0793,44.6244
2.18959,3.01287,43.2381
2.22133,2.94544,42.1732
2.25306,2.92571,41.2797
2.28479,2.94977,40.46
2.31653,3.00644,39.6858
2.34826,3.07049,38.9891
2.37999,3.0563,38.4268
2.41173,3.02406,38.0478
2.44346,2.9489,37.8784
2.47519,2.96198,37.9063
2.50693,3.01981,38.0617
2.53866,2.94293,38.2177
2.57039,2.88981,38.2249
2.60213,2.85421,37.9581
2.63386,2.84853,37.3438
2.66559,2.85406,36.3493
2.69733,2.77918,34.9609
2.72906,2.70434,33.1733
2.76079,2.63668,30.991
2.79253,2.51656,28.4292
2.82426,2.30677,25.5132
2.85599,2.15237,22.2834
2.88773,1.7964,18.8096
2.91946,1.57865,15.2069
2.95119,1.25893,11.6403
2.98293,0.973259,8.30526
3.01466,0.641421,5.39152
3.04639,0,3.04554
3.07813,0,1.35122
3.10986,0,0.336681
3.14159,0,0
