Theta,Radius,Area
0,0,0
0.0317333,0,0.403945
0.0634665,0,1.59875
0.0951998,0.33,3.53641
0.126933,0.54,6.14664
0.158666,1.00698,9.34904
0.1904,1.52416,13.0649
0.222133,1.73303,17.2251
0.253866,1.93621,21.7718
0.285599,2.40684,26.6571
0.317333,2.59947,31.8399
0.349066,2.70307,37.2827
0.380799,3.11684,42.9488
0.412532,3.36416,48.7997
0.444266,3.51083,54.7951
0.475999,3.72168,60.892
0.507732,3.97688,67.0463
0.539465,4.18427,73.2152
0.571199,4.3737,79.3627
0.602932,4.65423,85.4654
0.634665,4.84003,91.5156
0.666398,4.97841,97.5195
0.698132,5.1373,103.491
0.729865,5.32733,109.447
0.761598,5.49135,115.403
0.793331,5.67111,121.378
0.825065,5.74949,127.385
0.856798,5.94762,133.424
0.888531,6.11607,139.47
0.920265,6.2521,145.46
0.951998,6.40275,151.289
0.983731,6.49831,156.809
1.01546,6.66152,161.837
1.0472,6.76119,166.173
1.07893,6.83138,169.642
1.11066,6.90038,172.131
1.1424,6.9464,173.632
1.17413,6.94533,174.244
1.20586,6.96288,174.153
1.2376,6.95233,173.59
1.26933,6.94797,172.78
1.30106,6.93561,171.918
1.3328,6.91235,171.153
1.36453,6.88276,170.586
1.39626,6.88621,170.262
1.428,6.89622,170.16
1.45973,6.91003,170.187
1.49146,6.85331,170.185
1.5232,6.85888,169.955
1.55493,6.88404,169.31
1.58666,6.78773,168.121
1.6184,6.7844,166.355
1.65013,6.73242,164.079
1.68186,6.69599,161.431
1.7136,6.61227,158.589
1.74533,6.55304,155.74
1.77706,6.46442,153.043
1.8088,6.42754,150.596
1.84053,6.38547,148.404
1.87226,6.36157,146.399
1.904,6.2961,144.486
1.93573,6.28603,142.576
1.96746,6.29136,140.587
1.9992,6.22584,138.419
2.03093,6.21413,135.969
2.06266,6.1945,133.185
2.0944,6.15493,130.076
2.12613,6.09226,126.702
2.15786,6.02877,123.14
2.18959,5.92012,119.471
2.22133,5.85492,115.759
2.25306,5.7651,112.049
2.28479,5.69871,108.342
2.31653,5.58253,104.585
2.34826,5.50619,100.668
2.37999,5.3882,96.4661
2.41173,5.27122,91.8974
2.44346,5.12885,86.9624
2.47519,4.95965,81.7439
2.50693,4.82167,76.3682
2.53866,4.65444,70.9514
2.57039,4.46971,65.5619
2.60213,4.25931,60.2259
2.63386,3.97248,54.9634
2.66559,3.80694,49.8155
2.69733,3.58572,44.8437
2.72906,3.35696,40.1068
2.76079,3.17284,35.6336
2.79253,2.89415,31.4098
2.82426,2.62865,27.3877
2.85599,2.35281,23.5089
2.88773,2.05952,19.7323
2.91946,1.8741,16.0529
2.95119,1.52638,12.5085
2.98293,1.3487,9.17698
3.01466,0.856569,6.16838
3.04639,0.46,3.6152
3.07813,0,1.65755
3.10986,0,0.422531
3.14159,0,0
