Theta,Radius,Area
0,0,0
0.0317333,0,0.468126
0.0634665,0,1.83462
0.0951998,0.57,3.99367
0.126933,0.932132,6.79367
0.158666,1.05941,10.0688
0.1904,1.48,13.6725
0.222133,1.78768,17.5042
0.253866,1.98319,21.5204
0.285599,2.20396,25.7303
0.317333,2.37218,30.1773
0.349066,2.68394,34.9209
0.380799,2.99947,40.0236
0.412532,3.2302,45.5463
0.444266,3.42889,51.5461
0.475999,3.73723,58.07
0.507732,4.03724,65.1434
0.539465,4.28958,72.7589
0.571199,4.52235,80.8682
0.602932,4.73322,89.381
0.634665,5.02032,98.1697
0.666398,5.31923,107.079
0.698132,5.55154,115.934
0.729865,5.78305,124.556
0.761598,5.97855,132.768
0.793331,6.10614,140.412
0.825065,6.2406,147.359
0.856798,6.52008,153.522
0.888531,6.68004,158.853
0.920265,6.81829,163.339
0.951998,6.84817,166.987
0.983731,6.91317,169.817
1.01546,6.93295,171.865
1.0472,6.95163,173.19
1.07893,6.96392,173.878
1.11066,7.02628,174.033
1.1424,7.00328,173.756
1.17413,7.02922,173.138
1.20586,7.07943,172.261
1.2376,7.0754,171.219
1.26933,7.06285,170.135
1.30106,7.02665,169.165
1.3328,6.93656,168.47
1.36453,6.88776,168.158
1.39626,6.85686,168.227
1.428,6.83604,168.529
1.45973,6.83466,168.798
1.49146,6.86103,168.711
1.5232,6.85795,167.971
1.55493,6.84882,166.385
1.58666,6.81904,163.932
1.6184,6.80193,160.788
1.65013,6.80726,157.3
1.68186,6.7423,153.863
1.7136,6.62909,150.771
1.74533,6.60688,148.169
1.77706,6.53919,146.077
1.8088,6.52638,144.419
1.84053,6.48514,143.05
1.87226,6.5025,141.787
1.904,6.45135,140.457
1.93573,6.41951,138.929
1.96746,6.33537,137.134
1.9992,6.23116,135.047
2.03093,6.2361,132.645
2.06266,6.20344,129.863
2.0944,6.19319,126.626
2.12613,6.12693,122.922
2.15786,6.07431,118.858
2.18959,5.97568,114.664
2.22133,5.82635,110.626
2.25306,5.69677,106.983
2.28479,5.55813,103.828
2.31653,5.50419,101.084
2.34826,5.38001,98.5505
2.37999,5.25334,95.9698
2.41173,5.17355,93.0772
2.44346,5.04949,89.6343
2.47519,4.91158,85.4589
2.50693,4.69378,80.4595
2.53866,4.53419,74.6642
2.57039,4.34706,68.2333
2.60213,4.1238,61.441
2.63386,3.8854,54.6265
2.66559,3.56593,48.1258
2.69733,3.34834,42.2045
2.72906,3.17351,37.0073
2.76079,2.95727,32.5442
2.79253,2.7454,28.7139
2.82426,2.55896,25.349
2.85599,2.28537,22.2625
2.88773,2.09864,19.2853
2.91946,1.89734,16.2935
2.95119,1.59754,13.2286
2.98293,1.45044,10.1135
3.01466,1.06971,7.06211
3.04639,0.56,4.2748
3.07813,0.26,2.00827
3.10986,0,0.519703
3.14159,0,0
