Theta,Radius,Area
0,0,0
0.0317333,0,0.505492
0.0634665,0,1.99499
0.0951998,0.45,4.39436
0.126933,0.803137,7.5999
0.158666,1.42404,11.4997
0.1904,1.69759,15.9908
0.222133,1.83218,20.9865
0.253866,2.21968,26.4131
0.285599,2.6494,32.2021
0.317333,2.91937,38.2825
0.349066,3.09732,44.5803
0.380799,3.39514,51.0247
0.412532,3.66699,57.5587
0.444266,3.92126,64.1472
0.475999,4.0926,70.7822
0.507732,4.39497,77.4809
0.539465,4.64358,84.2807
0.571199,4.78245,91.2307
0.602932,4.98554,98.3799
0.634665,5.12501,105.764
0.666398,5.4241,113.387
0.698132,5.64497,121.208
0.729865,5.837,129.127
0.761598,5.97751,136.987
0.793331,6.10791,144.585
0.825065,6.30421,151.705
0.856798,6.46746,158.149
0.888531,6.60228,163.764
0.920265,6.7333,168.465
0.951998,6.77275,172.242
0.983731,6.8329,175.161
1.01546,6.89862,177.351
1.0472,6.97211,178.989
1.07893,7.00887,180.266
1.11066,7.0967,181.354
1.1424,7.12029,182.368
1.17413,7.11094,183.348
1.20586,7.1442,184.249
1.2376,7.15508,184.959
1.26933,7.14301,185.337
1.30106,7.15986,185.262
1.3328,7.14053,184.68
1.36453,7.07056,183.609
1.39626,6.99147,182.121
1.428,6.93089,180.303
1.45973,6.93998,178.253
1.49146,6.91513,176.077
1.5232,6.88311,173.873
1.55493,6.81872,171.716
1.58666,6.77134,169.65
1.6184,6.71123,167.691
1.65013,6.654,165.879
1.68186,6.63063,164.307
1.7136,6.63982,163.106
1.74533,6.60119,162.344
1.77706,6.62066,161.961
1.8088,6.63557,161.812
1.84053,6.65353,161.756
1.87226,6.65306,161.719
1.904,6.64108,161.699
1.93573,6.66637,161.727
1.96746,6.69725,161.804
1.9992,6.71451,161.838
2.03093,6.73435,161.625
2.06266,6.70061,160.876
2.0944,6.6999,159.288
2.12613,6.68177,156.636
2.15786,6.65137,152.84
2.18959,6.57577,147.99
2.22133,6.4608,142.315
2.25306,6.30469,136.139
2.28479,6.1929,129.821
2.31653,6.05364,123.655
2.34826,5.89539,117.806
2.37999,5.78258,112.285
2.41173,5.53555,106.983
2.44346,5.37782,101.729
2.47519,5.23854,96.3357
2.50693,5.07,90.6406
2.53866,4.83554,84.5307
2.57039,4.7066,77.971
2.60213,4.43161,71.0206
2.63386,4.14617,63.831
2.66559,3.9192,56.6214
2.69733,3.55658,49.6363
2.72906,3.3854,43.0965
2.76079,3.01517,37.1578
2.79253,2.7819,31.8864
2.82426,2.5453,27.2559
2.85599,2.19758,23.1645
2.88773,2.05011,19.4671
2.91946,1.76429,16.0181
2.95119,1.53175,12.7156
2.98293,1.2487,9.53672
3.01466,0.750711,6.55177
3.04639,0.46,3.91314
3.07813,0,1.81987
3.10986,0,0.467978
3.14159,0,0
