Theta,Radius,Area
0,0,0
0.0317333,0,0.465436
0.0634665,0,1.8391
0.0951998,0.31,4.06026
0.126933,0.934558,7.04914
0.158666,1.23668,10.7307
0.1904,1.59276,15.0548
0.222133,1.7881,20.0054
0.253866,2.13386,25.5974
0.285599,2.60091,31.8597
0.317333,2.8689,38.8109
0.349066,3.12538,46.4313
0.380799,3.44312,54.64
0.412532,3.77487,63.2848
0.444266,4.11472,72.154
0.475999,4.41708,81.0092
0.507732,4.62518,89.635
0.539465,4.92326,97.8882
0.571199,5.17548,105.73
0.602932,5.3455,113.233
0.634665,5.58518,120.548
0.666398,5.78599,127.869
0.698132,5.89357,135.373
0.729865,6.11344,143.19
0.761598,6.3198,151.366
0.793331,6.51834,159.855
0.825065,6.68791,168.517
0.856798,6.94797,177.118
0.888531,7.09483,185.351
0.920265,7.19588,192.861
0.951998,7.35943,199.308
0.983731,7.48304,204.433
1.01546,7.54889,208.128
1.0472,7.52842,210.467
1.07893,7.53636,211.69
1.11066,7.54938,212.146
1.1424,7.53585,212.218
1.17413,7.52284,212.256
1.20586,7.54312,212.532
1.2376,7.56936,213.224
1.26933,7.58194,214.411
1.30106,7.59523,216.088
1.3328,7.63644,218.182
1.36453,7.63093,220.574
1.39626,7.71527,223.12
1.428,7.75121,225.677
1.45973,7.80432,228.13
1.49146,7.85275,230.419
1.5232,7.86726,232.561
1.55493,7.89376,234.65
1.58666,7.9702,236.83
1.6184,8.0216,239.217
1.65013,8.07095,241.828
1.68186,8.09384,244.546
1.7136,8.10122,247.151
1.74533,8.14753,249.402
1.77706,8.18,251.104
1.8088,8.191,252.152
1.84053,8.19897,252.535
1.87226,8.19911,252.284
1.904,8.18957,251.426
1.93573,8.15262,249.95
1.96746,8.09555,247.814
1.9992,8.06153,244.961
2.03093,7.91826,241.34
2.06266,7.82017,236.92
2.0944,7.76791,231.702
2.12613,7.69116,225.724
2.15786,7.56014,219.067
2.18959,7.40269,211.854
2.22133,7.27709,204.24
2.25306,7.10738,196.385
2.28479,6.9597,188.437
2.31653,6.80842,180.509
2.34826,6.63413,172.672
2.37999,6.45667,164.939
2.41173,6.33694,157.272
2.44346,6.18801,149.576
2.47519,5.98261,141.721
2.50693,5.69176,133.554
2.53866,5.50665,124.939
2.57039,5.36688,115.785
2.60213,5.07945,106.078
2.63386,4.70402,95.9003
2.66559,4.489,85.4314
2.69733,4.17153,74.9283
2.72906,3.81548,64.6808
2.76079,3.50862,54.9587
2.79253,3.12315,45.9659
2.82426,2.74678,37.8199
2.85599,2.39952,30.5573
2.88773,2.10599,24.1568
2.91946,1.83343,18.5691
2.95119,1.33166,13.7415
2.98293,1.0787,9.63507
3.01466,0.87,6.23347
3.04639,0.26,3.54345
3.07813,0,1.58879
3.10986,0,0.399519
3.14159,0,9.09495e-13
