Theta,Radius,Area
0,0,0
0.0317333,0,0.307539
0.0634665,0,1.24481
0.0951998,0,2.85186
0.126933,0.647279,5.18295
0.158666,1.12154,8.28962
0.1904,1.28706,12.2012
0.222133,1.62146,16.9073
0.253866,2.02849,22.3482
0.285599,2.3461,28.4151
0.317333,2.57845,34.9638
0.349066,2.97861,41.837
0.380799,3.24904,48.8901
0.412532,3.51048,56.014
0.444266,3.83461,63.149
0.475999,4.08649,70.2859
0.507732,4.27589,77.4546
0.539465,4.51867,84.702
0.571199,4.81823,92.0645
0.602932,5.03624,99.5419
0.634665,5.26928,107.078
0.666398,5.4499,114.553
0.698132,5.58804,121.783
0.729865,5.83293,128.538
0.761598,5.94825,134.57
0.793331,6.05927,139.654
0.825065,6.14899,143.632
0.856798,6.14567,146.445
0.888531,6.15439,148.139
0.920265,6.17157,148.852
0.951998,6.20151,148.782
0.983731,6.17165,148.134
1.01546,6.17313,147.086
1.0472,6.13075,145.749
1.07893,6.11672,144.171
1.11066,6.09421,142.346
1.1424,6.0549,140.236
1.17413,6.01667,137.798
1.20586,5.97599,134.997
1.2376,5.89239,131.815
1.26933,5.80791,128.256
1.30106,5.75684,124.362
1.3328,5.63531,120.225
1.36453,5.49515,115.986
1.39626,5.39708,111.821
1.428,5.26516,107.904
1.45973,5.18306,104.389
1.49146,5.08646,101.38
1.5232,5.03709,98.9252
1.55493,5.01195,96.9963
1.58666,4.91733,95.487
1.6184,4.87332,94.2288
1.65013,4.8291,93.0249
1.68186,4.74308,91.6875
1.7136,4.67376,90.0635
1.74533,4.59347,88.0445
1.77706,4.48055,85.5705
1.8088,4.40065,82.6311
1.84053,4.27454,79.267
1.87226,4.1826,75.5665
1.904,4.03037,71.6567
1.93573,3.85615,67.6866
1.96746,3.75623,63.8023
1.9992,3.61155,60.1203
2.03093,3.50237,56.7058
2.06266,3.35857,53.5637
2.0944,3.20306,50.6525
2.12613,3.1137,47.9192
2.15786,2.91283,45.3374
2.18959,2.82367,42.9363
2.22133,2.80602,40.811
2.25306,2.74085,39.1116
2.28479,2.67322,38.0041
2.31653,2.61591,37.5971
2.34826,2.63026,37.8596
2.37999,2.68703,38.6248
2.41173,2.74475,39.665
2.44346,2.80815,40.7359
2.47519,2.86022,41.5901
2.50693,2.92647,42.0124
2.53866,3.05736,41.87
2.57039,3.09698,41.1433
2.60213,3.09814,39.9203
2.63386,3.07124,38.3511
2.66559,3.00571,36.5736
2.69733,2.78582,34.6621
2.72906,2.58833,32.6362
2.76079,2.51382,30.4809
2.79253,2.38113,28.1496
2.82426,2.27852,25.5813
2.85599,2.18382,22.7364
2.88773,2.01145,19.6259
2.91946,1.82133,16.3167
2.95119,1.60448,12.9227
2.98293,1.3336,9.59239
3.01466,0.769925,6.49864
3.04639,0.49,3.82731
3.07813,0.04,1.75949
3.10986,0,0.449073
3.14159,0,0
