Theta,Radius,Area
0,0,0
0.0317333,0,0.422941
0.0634665,0,1.66724
0.0951998,0.42,3.66647
0.126933,0.954853,6.33065
0.158666,1.09113,9.56811
0.1904,1.3397,13.301
0.222133,1.74019,17.4675
0.253866,2.01114,22.0106
0.285599,2.22761,26.8626
0.317333,2.48983,31.9358
0.349066,2.68743,37.1276
0.380799,2.98104,42.3368
0.412532,3.19343,47.4839
0.444266,3.35519,52.5205
0.475999,3.53836,57.4237
0.507732,3.76352,62.1745
0.539465,3.90875,66.7382
0.571199,4.05217,71.059
0.602932,4.17263,75.0765
0.634665,4.37031,78.7508
0.666398,4.47368,82.0842
0.698132,4.57952,85.1288
0.729865,4.68282,87.9772
0.761598,4.78501,90.742
0.793331,4.86536,93.5314
0.825065,4.99598,96.4295
0.856798,5.15454,99.4821
0.888531,5.24686,102.684
0.920265,5.31112,105.967
0.951998,5.38673,109.188
0.983731,5.47215,112.141
1.01546,5.50465,114.584
1.0472,5.54855,116.262
1.07893,5.53061,116.915
1.11066,5.49357,116.347
1.1424,5.38405,114.519
1.17413,5.265,111.529
1.20586,5.17065,107.583
1.2376,5.05928,102.962
1.26933,4.92964,97.988
1.30106,4.83993,92.9851
1.3328,4.76589,88.2436
1.36453,4.65576,83.9897
1.39626,4.57432,80.4068
1.428,4.48369,77.7672
1.45973,4.40882,75.7167
1.49146,4.30225,73.8483
1.5232,4.26169,72.0264
1.55493,4.23345,70.2216
1.58666,4.2492,68.4869
1.6184,4.20605,66.9398
1.65013,4.21103,65.6795
1.68186,4.23042,64.7232
1.7136,4.21104,64.0702
1.74533,4.22157,63.7321
1.77706,4.21436,63.7136
1.8088,4.21831,63.9692
1.84053,4.22072,64.3475
1.87226,4.21219,64.6956
1.904,4.19705,64.8605
1.93573,4.15601,64.7197
1.96746,4.10669,64.2059
1.9992,4.07916,63.316
2.03093,4.00625,62.1032
2.06266,3.97135,60.662
2.0944,3.87901,59.1148
2.12613,3.83839,57.5997
2.15786,3.81194,56.2578
2.18959,3.79529,55.2185
2.22133,3.74839,54.5802
2.25306,3.75287,54.3882
2.28479,3.7561,54.619
2.31653,3.7627,55.179
2.34826,3.76315,55.9184
2.37999,3.75944,56.6616
2.41173,3.75913,57.2444
2.44346,3.72736,57.5409
2.47519,3.73744,57.474
2.50693,3.71634,57.0137
2.53866,3.63582,56.1637
2.57039,3.53649,54.9403
2.60213,3.48819,53.3511
2.63386,3.42085,51.3836
2.66559,3.36279,49.01
2.69733,3.18845,46.2075
2.72906,2.96061,42.9787
2.76079,2.86873,39.3619
2.79253,2.7088,35.425
2.82426,2.52605,31.2501
2.85599,2.25461,26.9202
2.88773,2.00744,22.5198
2.91946,1.80967,18.1476
2.95119,1.49396,13.9294
2.98293,1.14861,10.019
3.01466,0.753848,6.58134
3.04639,0.32,3.76756
3.07813,0,1.69214
3.10986,0,0.425266
3.14159,0,9.09495e-13
