Theta,Radius,Area
0,0,0
0.0317333,0,0.458085
0.0634665,0,1.81563
0.0951998,0.55,4.02634
0.126933,1.00314,7.02462
0.158666,1.11184,10.7388
0.1904,1.45377,15.1029
0.222133,1.9903,20.0626
0.253866,2.1906,25.574
0.285599,2.45863,31.5988
0.317333,2.77737,38.0987
0.349066,3.09618,45.0331
0.380799,3.32318,52.3624
0.412532,3.68662,60.0503
0.444266,3.96596,68.0651
0.475999,4.12518,76.374
0.507732,4.46439,84.9359
0.539465,4.83806,93.6959
0.571199,5.06682,102.585
0.602932,5.28263,111.526
0.634665,5.4315,120.444
0.666398,5.63825,129.269
0.698132,5.90901,137.946
0.729865,6.12881,146.436
0.761598,6.30116,154.723
0.793331,6.5205,162.821
0.825065,6.62291,170.765
0.856798,6.84056,178.596
0.888531,7.03463,186.343
0.920265,7.14086,193.989
0.951998,7.24823,201.448
0.983731,7.37869,208.558
1.01546,7.52301,215.091
1.0472,7.63313,220.789
1.07893,7.729,225.426
1.11066,7.78514,228.857
1.1424,7.79896,231.066
1.17413,7.78806,232.175
1.20586,7.78956,232.426
1.2376,7.80472,232.139
1.26933,7.8176,231.652
1.30106,7.81945,231.272
1.3328,7.78904,231.231
1.36453,7.7914,231.654
1.39626,7.7923,232.554
1.428,7.85877,233.832
1.45973,7.90553,235.304
1.49146,7.92111,236.747
1.5232,7.92443,237.95
1.55493,7.94147,238.758
1.58666,7.98363,239.098
1.6184,7.99807,238.994
1.65013,7.97883,238.547
1.68186,7.96158,237.921
1.7136,7.93172,237.3
1.74533,7.9352,236.851
1.77706,7.92663,236.678
1.8088,7.93196,236.797
1.84053,7.95747,237.125
1.87226,7.94957,237.497
1.904,7.95432,237.697
1.93573,7.94083,237.49
1.96746,7.91716,236.656
1.9992,7.84876,235.016
2.03093,7.76474,232.456
2.06266,7.74357,228.947
2.0944,7.6345,224.544
2.12613,7.51934,219.364
2.15786,7.4462,213.553
2.18959,7.27317,207.25
2.22133,7.16759,200.563
2.25306,7.04716,193.552
2.28479,6.93222,186.219
2.31653,6.79384,178.518
2.34826,6.61479,170.378
2.37999,6.48171,161.74
2.41173,6.20652,152.593
2.44346,5.98378,143.006
2.47519,5.72452,133.134
2.50693,5.51288,123.189
2.53866,5.27626,113.393
2.57039,5.07615,103.923
2.60213,4.83545,94.8732
2.63386,4.47972,86.2504
2.66559,4.25954,77.9894
2.69733,4.00518,69.9895
2.72906,3.67381,62.1542
2.76079,3.50337,54.4304
2.79253,3.24514,46.8325
2.82426,2.83976,39.4451
2.85599,2.42368,32.4024
2.88773,2.20334,25.8528
2.91946,1.96722,19.9259
2.95119,1.4939,14.7125
2.98293,1.1077,10.2635
3.01466,1.00657,6.60063
3.04639,0.46,3.7323
3.07813,0,1.66699
3.10986,0,0.418246
3.14159,0,1.81899e-12
