Theta,Radius,Area
0,0,0
0.0317333,0,0.305972
0.0634665,0,1.19447
0.0951998,0.25,2.58579
0.126933,0.52,4.37137
0.158666,0.828995,6.43927
0.1904,1.17853,8.69767
0.222133,1.47612,11.0973
0.253866,1.81899,13.6622
0.285599,2.12257,16.5227
0.317333,2.41697,19.9038
0.349066,2.70554,24.029
0.380799,2.96929,29.0006
0.412532,3.21386,34.755
0.444266,3.46575,41.0702
0.475999,3.65063,47.5957
0.507732,3.87089,53.9071
0.539465,4.10082,59.5825
0.571199,4.24858,64.2841
0.602932,4.39716,67.8255
0.634665,4.49613,70.2019
0.666398,4.52938,71.5737
0.698132,4.65713,72.2142
0.729865,4.71505,72.4431
0.761598,4.74512,72.5647
0.793331,4.72973,72.8154
0.825065,4.73421,73.3242
0.856798,4.75723,74.0985
0.888531,4.77662,75.0408
0.920265,4.78886,75.9801
0.951998,4.78565,76.7042
0.983731,4.79382,77.001
1.01546,4.75769,76.7167
1.0472,4.71075,75.8101
1.07893,4.67485,74.3715
1.11066,4.65038,72.5975
1.1424,4.6173,70.7381
1.17413,4.57368,69.0496
1.20586,4.56991,67.7626
1.2376,4.56713,67.0434
1.26933,4.54163,66.9512
1.30106,4.49729,67.4279
1.3328,4.5001,68.3282
1.36453,4.51563,69.4588
1.39626,4.50936,70.6251
1.428,4.51989,71.639
1.45973,4.43958,72.3432
1.49146,4.43042,72.6539
1.5232,4.4235,72.5923
1.55493,4.3997,72.2834
1.58666,4.40129,71.9552
1.6184,4.33055,71.8017
1.65013,4.27562,71.912
1.68186,4.24242,72.4888
1.7136,4.2519,73.6841
1.74533,4.28723,75.4779
1.77706,4.33318,77.7764
1.8088,4.45678,80.4881
1.84053,4.52616,83.5525
1.87226,4.56712,86.871
1.904,4.6578,90.1571
1.93573,4.69698,93.0699
1.96746,4.78174,95.3745
1.9992,4.79928,96.9281
2.03093,4.78753,97.6566
2.06266,4.75096,97.5586
2.0944,4.7344,96.7127
2.12613,4.73718,95.268
2.15786,4.69335,93.4152
2.18959,4.66458,91.3519
2.22133,4.62984,89.2521
2.25306,4.53901,87.2361
2.28479,4.49749,85.3454
2.31653,4.44611,83.5392
2.34826,4.37051,81.7163
2.37999,4.3228,79.7508
2.41173,4.26851,77.5266
2.44346,4.20572,74.9606
2.47519,4.06113,72.0107
2.50693,3.99634,68.6725
2.53866,3.86442,64.9698
2.57039,3.67578,60.9451
2.60213,3.50436,56.6534
2.63386,3.39153,52.1599
2.66559,3.21212,47.5368
2.69733,3.05582,42.859
2.72906,2.84347,38.1964
2.76079,2.53497,33.6095
2.79253,2.23694,29.1525
2.82426,2.10377,24.8781
2.85599,1.9799,20.8386
2.88773,1.76161,17.0777
2.91946,1.39229,13.6217
2.95119,1.11405,10.4775
2.98293,0.994142,7.64576
3.01466,0.69,5.14467
3.04639,0,3.03031
3.07813,0,1.39778
3.10986,0,0.357967
3.14159,0,0
