Theta,Radius,Area
0,0,0
0.0317333,0,0.444753
0.0634665,0,1.78286
0.0951998,0.46,4.02421
0.126933,1.01243,7.17942
0.158666,1.15941,11.2495
0.1904,1.69028,16.2107
0.222133,1.97709,21.9974
0.253866,2.32956,28.4919
0.285599,2.74006,35.5293
0.317333,3.02463,42.9244
0.349066,3.2567,50.5119
0.380799,3.64341,58.1888
0.412532,3.91938,65.9397
0.444266,4.13431,73.8342
0.475999,4.41451,81.9942
0.507732,4.71903,90.5436
0.539465,4.9113,99.5555
0.571199,5.22731,109.011
0.602932,5.4513,118.788
0.634665,5.70802,128.685
0.666398,5.93894,138.487
0.698132,6.14038,148.023
0.729865,6.39238,157.206
0.761598,6.54119,166.022
0.793331,6.7433,174.492
0.825065,6.95273,182.646
0.856798,7.08851,190.525
0.888531,7.204,198.2
0.920265,7.43947,205.754
0.951998,7.6068,213.259
0.983731,7.67813,220.727
1.01546,7.78501,228.086
1.0472,7.87424,235.186
1.07893,8.03429,241.83
1.11066,8.12722,247.821
1.1424,8.22233,253.004
1.17413,8.28225,257.299
1.20586,8.2993,260.717
1.2376,8.36524,263.351
1.26933,8.42728,265.364
1.30106,8.46038,266.96
1.3328,8.48961,268.355
1.36453,8.55585,269.75
1.39626,8.58875,271.297
1.428,8.58914,273.089
1.45973,8.62111,275.145
1.49146,8.66241,277.41
1.5232,8.74544,279.77
1.55493,8.75129,282.074
1.58666,8.81013,284.17
1.6184,8.8048,285.938
1.65013,8.819,287.312
1.68186,8.84212,288.284
1.7136,8.85792,288.893
1.74533,8.87262,289.202
1.77706,8.85879,289.264
1.8088,8.87137,289.1
1.84053,8.84046,288.679
1.87226,8.84394,287.922
1.904,8.8332,286.703
1.93573,8.77442,284.868
1.96746,8.72278,282.255
1.9992,8.64673,278.715
2.03093,8.57689,274.139
2.06266,8.45322,268.483
2.0944,8.35035,261.787
2.12613,8.26192,254.176
2.15786,8.17787,245.836
2.18959,8.03075,236.977
2.22133,7.85415,227.786
2.25306,7.57192,218.403
2.28479,7.3797,208.903
2.31653,7.25341,199.308
2.34826,7.11774,189.601
2.37999,6.91361,179.754
2.41173,6.67223,169.747
2.44346,6.47764,159.584
2.47519,6.27944,149.302
2.50693,5.99594,138.964
2.53866,5.70417,128.651
2.57039,5.48406,118.443
2.60213,5.19666,108.403
2.63386,4.95492,98.5645
2.66559,4.68099,88.9291
2.69733,4.40683,79.4776
2.72906,4.03789,70.1932
2.76079,3.6576,61.0866
2.79253,3.43215,52.2141
2.82426,3.02079,43.68
2.85599,2.69204,35.6236
2.88773,2.42296,28.1942
2.91946,1.9612,21.5251
2.95119,1.64402,15.7144
2.98293,1.21941,10.819
3.01466,0.804142,6.85767
3.04639,0.4,3.82143
3.07813,0,1.68511
3.10986,0,0.419076
3.14159,0,0
