Theta,Radius,Area
0,0,0
0.0317333,0,0.365189
0.0634665,0,1.45843
0.0951998,0,3.27204
0.126933,0.688995,5.79164
0.158666,1.15811,8.99644
0.1904,1.3148,12.862
0.222133,1.65724,17.3648
0.253866,2.02666,22.4857
0.285599,2.29537,28.2082
0.317333,2.62688,34.5108
0.349066,2.98318,41.3521
0.380799,3.23965,48.657
0.412532,3.54112,56.3086
0.444266,3.85482,64.1524
0.475999,4.09059,72.0135
0.507732,4.38027,79.7197
0.539465,4.57427,87.1223
0.571199,4.87479,94.109
0.602932,5.03647,100.607
0.634665,5.18789,106.579
0.666398,5.3215,112.02
0.698132,5.51289,116.96
0.729865,5.65808,121.454
0.761598,5.80837,125.581
0.793331,5.89641,129.424
0.825065,5.96946,133.054
0.856798,6.02383,136.505
0.888531,6.10071,139.773
0.920265,6.13267,142.814
0.951998,6.2628,145.552
0.983731,6.32412,147.898
1.01546,6.35928,149.763
1.0472,6.41394,151.077
1.07893,6.43397,151.791
1.11066,6.4364,151.881
1.1424,6.38195,151.336
1.17413,6.35238,150.161
1.20586,6.31612,148.389
1.2376,6.25299,146.09
1.26933,6.20512,143.369
1.30106,6.11296,140.349
1.3328,6.03674,137.142
1.36453,5.93666,133.852
1.39626,5.89682,130.582
1.428,5.84335,127.438
1.45973,5.75396,124.516
1.49146,5.68436,121.873
1.5232,5.57077,119.483
1.55493,5.46974,117.241
1.58666,5.36943,114.995
1.6184,5.29861,112.598
1.65013,5.23459,109.949
1.68186,5.16702,107.03
1.7136,5.08174,103.904
1.74533,4.99063,100.69
1.77706,4.87558,97.5154
1.8088,4.76098,94.46
1.84053,4.61931,91.519
1.87226,4.53129,88.5913
1.904,4.46112,85.5159
1.93573,4.33027,82.1378
1.96746,4.22917,78.3746
1.9992,4.07002,74.2571
2.03093,3.98161,69.9302
2.06266,3.86761,65.6172
2.0944,3.74091,61.5446
2.12613,3.63794,57.8444
2.15786,3.53683,54.5263
2.18959,3.31407,51.5734
2.22133,3.12465,49.0272
2.25306,2.97648,46.9618
2.28479,2.90567,45.4034
2.31653,2.92834,44.3016
2.34826,3.02283,43.5688
2.37999,3.08492,43.1261
2.41173,3.11267,42.924
2.44346,3.146,42.9335
2.47519,3.20484,43.1026
2.50693,3.26215,43.3029
2.53866,3.29224,43.3211
2.57039,3.32635,42.9216
2.60213,3.32271,41.9394
2.63386,3.23012,40.3438
2.66559,3.09546,38.2409
2.69733,2.99999,35.821
2.72906,2.8989,33.2753
2.76079,2.82362,30.7187
2.79253,2.68291,28.1593
2.82426,2.55568,25.5277
2.85599,2.34996,22.7389
2.88773,2.20635,19.7441
2.91946,1.89751,16.5547
2.95119,1.60609,13.2437
2.98293,1.35962,9.93744
3.01466,0.785269,6.8055
3.04639,0.54,4.04801
3.07813,0.05,1.87604
3.10986,0,0.481363
3.14159,0,0
