Theta,Radius,Area
0,0,0
0.0317333,0,0.162266
0.0634665,0,0.645246
0.0951998,0,1.43869
0.126933,0,2.52948
0.158666,0.36,3.90773
0.1904,0.49,5.57515
0.222133,0.727279,7.55166
0.253866,1.18698,9.86997
0.285599,1.46268,12.5502
0.317333,1.58984,15.5688
0.349066,1.72311,18.847
0.380799,1.96563,22.2621
0.412532,2.20374,25.673
0.444266,2.43244,28.9477
0.475999,2.53697,31.9871
0.507732,2.6469,34.7394
0.539465,2.78004,37.2059
0.571199,2.9018,39.4365
0.602932,2.94311,41.5186
0.634665,3.07055,43.5597
0.666398,3.13594,45.6683
0.698132,3.21536,47.9333
0.729865,3.31122,50.401
0.761598,3.45742,53.0559
0.793331,3.53605,55.815
0.825065,3.65181,58.5467
0.856798,3.71614,61.107
0.888531,3.77809,63.3773
0.920265,3.86951,65.2908
0.951998,3.9222,66.8418
0.983731,4.03278,68.0833
1.01546,4.10831,69.1154
1.0472,4.16382,70.0666
1.07893,4.19035,71.0691
1.11066,4.2317,72.2321
1.1424,4.24148,73.615
1.17413,4.27353,75.2091
1.20586,4.31185,76.9364
1.2376,4.40287,78.6671
1.26933,4.47374,80.2527
1.30106,4.5079,81.5622
1.3328,4.52238,82.5105
1.36453,4.5581,83.0732
1.39626,4.5597,83.2851
1.428,4.56481,83.2223
1.45973,4.55975,82.9726
1.49146,4.5612,82.606
1.5232,4.53401,82.1635
1.55493,4.50427,81.6682
1.58666,4.46761,81.1381
1.6184,4.48265,80.5826
1.65013,4.49584,79.9872
1.68186,4.49825,79.3078
1.7136,4.46984,78.483
1.74533,4.44087,77.4619
1.77706,4.38349,76.2319
1.8088,4.32878,74.8313
1.84053,4.25267,73.3405
1.87226,4.24203,71.8527
1.904,4.17751,70.4349
1.93573,4.10309,69.095
1.96746,4.01416,67.7772
1.9992,3.96829,66.3931
2.03093,3.92639,64.8622
2.06266,3.88079,63.1394
2.0944,3.80743,61.2198
2.12613,3.73399,59.1293
2.15786,3.67491,56.9082
2.18959,3.60825,54.744
2.22133,3.53389,52.5397
2.25306,3.45595,50.1768
2.28479,3.37966,47.7388
2.31653,3.29967,45.3692
2.34826,3.16213,43.1592
2.37999,3.04256,41.1074
2.41173,2.94585,39.2262
2.44346,2.88786,37.5545
2.47519,2.84473,36.0828
2.50693,2.7942,34.7137
2.53866,2.69632,33.3526
2.57039,2.58217,31.9052
2.60213,2.49195,30.2778
2.63386,2.36921,28.3983
2.66559,2.23881,26.242
2.69733,2.12634,23.8452
2.72906,2.00473,21.2969
2.76079,1.84417,18.7131
2.79253,1.65077,16.2056
2.82426,1.48533,13.8537
2.85599,1.36703,11.6913
2.88773,1.28108,9.71101
2.91946,1.06284,7.88246
2.95119,0.855563,6.17441
2.98293,0.6,4.5766
3.01466,0.41,3.11385
3.04639,0.07,1.84597
3.07813,0,0.853999
3.10986,0,0.218921
3.14159,0,0
