Theta,Radius,Area
0,0,0
0.0317333,0,0.426061
0.0634665,0,1.69991
0.0951998,0.42,3.80708
0.126933,0.836274,6.71945
0.158666,1.23863,10.3921
0.1904,1.62956,14.762
0.222133,1.869,19.7497
0.253866,2.31659,25.2629
0.285599,2.56287,31.2018
0.317333,2.74043,37.4652
0.349066,3.09702,43.9571
0.380799,3.48425,50.5944
0.412532,3.69574,57.3111
0.444266,4.0091,64.0614
0.475999,4.20051,70.818
0.507732,4.37772,77.5694
0.539465,4.67967,84.3157
0.571199,4.86132,91.0663
0.602932,5.03762,97.8363
0.634665,5.20738,104.64
0.666398,5.36357,111.477
0.698132,5.5333,118.322
0.729865,5.74178,125.105
0.761598,5.90649,131.707
0.793331,6.07166,137.974
0.825065,6.23612,143.742
0.856798,6.32206,148.874
0.888531,6.41215,153.301
0.920265,6.52375,157.034
0.951998,6.56677,160.166
0.983731,6.62119,162.832
1.01546,6.61866,165.171
1.0472,6.67392,167.27
1.07893,6.72139,169.143
1.11066,6.78542,170.724
1.1424,6.78922,171.899
1.17413,6.82962,172.55
1.20586,6.86911,172.6
1.2376,6.85908,172.036
1.26933,6.84888,170.914
1.30106,6.81902,169.338
1.3328,6.77286,167.44
1.36453,6.70941,165.368
1.39626,6.70791,163.292
1.428,6.64328,161.396
1.45973,6.58614,159.876
1.49146,6.5711,158.914
1.5232,6.56708,158.656
1.55493,6.63047,159.182
1.58666,6.64003,160.477
1.6184,6.68918,162.39
1.65013,6.71209,164.614
1.68186,6.74067,166.724
1.7136,6.76818,168.277
1.74533,6.78607,168.921
1.77706,6.75549,168.476
1.8088,6.74872,166.961
1.84053,6.78979,164.574
1.87226,6.75635,161.617
1.904,6.73799,158.407
1.93573,6.71696,155.199
1.96746,6.63882,152.166
1.9992,6.57244,149.383
2.03093,6.54196,146.835
2.06266,6.51033,144.426
2.0944,6.48508,142.003
2.12613,6.43748,139.393
2.15786,6.36792,136.446
2.18959,6.33449,133.06
2.22133,6.26339,129.199
2.25306,6.13979,124.881
2.28479,6.02382,120.168
2.31653,5.86451,115.14
2.34826,5.71449,109.882
2.37999,5.56067,104.475
2.41173,5.42525,98.9799
2.44346,5.26448,93.4417
2.47519,5.12215,87.8858
2.50693,4.89734,82.3276
2.53866,4.75688,76.7813
2.57039,4.52247,71.2628
2.60213,4.36306,65.7889
2.63386,4.12768,60.3781
2.66559,3.90271,55.0565
2.69733,3.68784,49.8623
2.72906,3.47162,44.8407
2.76079,3.24724,40.0297
2.79253,2.98709,35.4444
2.82426,2.69166,31.068
2.85599,2.44609,26.8562
2.88773,2.09145,22.7552
2.91946,1.9212,18.7272
2.95119,1.60146,14.778
2.98293,1.39042,10.9764
3.01466,0.79,7.45732
3.04639,0.5,4.40718
3.07813,0,2.03226
3.10986,0,0.519743
3.14159,0,0
