Theta,Radius,Area
0,0,0
0.0317333,0,0.237937
0.0634665,0,0.96875
0.0951998,0.16,2.23454
0.126933,0.52,4.08134
0.158666,0.728284,6.53718
0.1904,1.13759,9.59773
0.222133,1.50573,13.22
0.253866,1.79444,17.3187
0.285599,2.01087,21.7596
0.317333,2.35557,26.3543
0.349066,2.61248,30.865
0.380799,2.7372,35.0275
0.412532,2.81274,38.5916
0.444266,2.95507,41.3676
0.475999,3.03203,43.2633
0.507732,3.13938,44.3001
0.539465,3.20136,44.6039
0.571199,3.20487,44.3731
0.602932,3.19661,43.8357
0.634665,3.24375,43.2096
0.666398,3.21772,42.6769
0.698132,3.2228,42.371
0.729865,3.24152,42.3709
0.761598,3.28835,42.698
0.793331,3.33527,43.3202
0.825065,3.38673,44.1676
0.856798,3.45984,45.1605
0.888531,3.53094,46.2344
0.920265,3.61372,47.3247
0.951998,3.62905,48.3284
0.983731,3.65902,49.1421
1.01546,3.67084,49.7069
1.0472,3.67082,50.0126
1.07893,3.65958,50.0942
1.11066,3.67842,50.0176
1.1424,3.66034,49.8596
1.17413,3.62542,49.6874
1.20586,3.6076,49.543
1.2376,3.59351,49.4468
1.26933,3.58513,49.4114
1.30106,3.56189,49.456
1.3328,3.567,49.6335
1.36453,3.58407,50.0541
1.39626,3.59234,50.8351
1.428,3.62687,51.97
1.45973,3.67228,53.3412
1.49146,3.68764,54.8493
1.5232,3.74711,56.4716
1.55493,3.7793,57.9923
1.58666,3.78226,59.2614
1.6184,3.79491,60.2271
1.65013,3.8127,60.9216
1.68186,3.83913,61.47
1.7136,3.82712,62.1056
1.74533,3.93613,63.1593
1.77706,3.99334,65.0174
1.8088,4.02543,67.9664
1.84053,4.12985,71.9504
1.87226,4.27716,76.649
1.904,4.39997,81.6358
1.93573,4.57311,86.4559
1.96746,4.7106,90.6822
1.9992,4.76235,93.9619
2.03093,4.79187,96.0582
2.06266,4.83461,96.8788
2.0944,4.81909,96.4818
2.12613,4.80105,95.0588
2.15786,4.74219,92.8964
2.18959,4.67028,90.3252
2.22133,4.58698,87.6642
2.25306,4.4724,85.1731
2.28479,4.36942,83.0163
2.31653,4.317,81.244
2.34826,4.29727,79.7926
2.37999,4.28145,78.505
2.41173,4.21178,77.1678
2.44346,4.15719,75.5547
2.47519,4.1341,73.4698
2.50693,4.06871,70.7802
2.53866,3.9649,67.4348
2.57039,3.77985,63.4664
2.60213,3.50967,58.9805
2.63386,3.42455,54.1358
2.66559,3.30554,49.1224
2.69733,3.14599,44.1405
2.72906,2.91057,39.3737
2.76079,2.68672,34.9533
2.79253,2.53608,30.9242
2.82426,2.4104,27.2332
2.85599,2.23778,23.7562
2.88773,1.89193,20.3522
2.91946,1.68311,16.9231
2.95119,1.48956,13.4546
2.98293,1.16355,10.0307
3.01466,0.981421,6.81623
3.04639,0.6,4.01939
3.07813,0,1.84766
3.10986,0,0.47132
3.14159,0,9.09495e-13
