Theta,Radius,Area
0,0,0
0.0317333,0,0.389034
0.0634665,0,1.52828
0.0951998,0.48,3.34535
0.126933,0.62,5.75106
0.158666,1.08828,8.66986
0.1904,1.45556,12.0601
0.222133,1.82429,15.9196
0.253866,2.13063,20.277
0.285599,2.2786,25.1688
0.317333,2.6531,30.6036
0.349066,2.9203,36.5282
0.380799,3.18041,42.8139
0.412532,3.51865,49.2739
0.444266,3.71239,55.7057
0.475999,3.92927,61.9411
0.507732,4.15434,67.8877
0.539465,4.41185,73.5487
0.571199,4.58689,79.0133
0.602932,4.79776,84.4177
0.634665,4.97802,89.8932
0.666398,5.15919,95.5216
0.698132,5.31792,101.315
0.729865,5.48037,107.219
0.761598,5.6434,113.133
0.793331,5.72816,118.929
0.825065,5.8513,124.476
0.856798,6.01451,129.654
0.888531,6.11232,134.363
0.920265,6.20861,138.522
0.951998,6.27999,142.075
0.983731,6.32039,145.001
1.01546,6.3908,147.323
1.0472,6.41994,149.089
1.07893,6.48213,150.341
1.11066,6.49476,151.073
1.1424,6.51315,151.234
1.17413,6.51719,150.768
1.20586,6.47802,149.669
1.2376,6.46824,148.002
1.26933,6.46314,145.903
1.30106,6.37584,143.55
1.3328,6.35726,141.134
1.36453,6.31271,138.836
1.39626,6.23275,136.797
1.428,6.22362,135.108
1.45973,6.2131,133.813
1.49146,6.20926,132.925
1.5232,6.2136,132.428
1.55493,6.21853,132.259
1.58666,6.2764,132.285
1.6184,6.26718,132.313
1.65013,6.26575,132.137
1.68186,6.22078,131.606
1.7136,6.23203,130.661
1.74533,6.2396,129.358
1.77706,6.27083,127.842
1.8088,6.25113,126.304
1.84053,6.2868,124.921
1.87226,6.28127,123.828
1.904,6.25458,123.101
1.93573,6.21409,122.742
1.96746,6.21041,122.635
1.9992,6.20425,122.526
2.03093,6.15881,122.083
2.06266,6.13882,120.999
2.0944,6.08715,119.079
2.12613,6.0023,116.297
2.15786,5.93618,112.779
2.18959,5.84244,108.768
2.22133,5.74299,104.54
2.25306,5.59697,100.349
2.28479,5.5024,96.3618
2.31653,5.36376,92.6317
2.34826,5.19838,89.1112
2.37999,5.04026,85.7104
2.41173,4.93716,82.3227
2.44346,4.8321,78.8201
2.47519,4.68777,75.0567
2.50693,4.4759,70.9012
2.53866,4.32666,66.2851
2.57039,4.13494,61.233
2.60213,3.94156,55.8595
2.63386,3.73036,50.3371
2.66559,3.48338,44.8525
2.69733,3.2278,39.5691
2.72906,2.86802,34.6072
2.76079,2.6978,30.0413
2.79253,2.56658,25.9029
2.82426,2.29028,22.1779
2.85599,2.13009,18.8041
2.88773,1.96839,15.6889
2.91946,1.64885,12.7511
2.95119,1.2218,9.95914
2.98293,1.05,7.33922
3.01466,0.66,4.96248
3.04639,0.54,2.92821
3.07813,0.18,1.35131
3.10986,0,0.346097
3.14159,0,1.81899e-12
