Theta,Radius,Area
0,0,0
0.0317333,0,0.450126
0.0634665,0,1.76453
0.0951998,0.42,3.84476
0.126933,0.64,6.55402
0.158666,1.12581,9.74577
0.1904,1.55898,13.2874
0.222133,1.70479,17.0742
0.253866,1.90089,21.0338
0.285599,2.17422,25.1257
0.317333,2.31428,29.3402
0.349066,2.58924,33.6986
0.380799,2.88159,38.2537
0.412532,3.1227,43.0805
0.444266,3.26639,48.2485
0.475999,3.46089,53.7745
0.507732,3.81759,59.5885
0.539465,3.99227,65.5429
0.571199,4.13003,71.4653
0.602932,4.31328,77.2164
0.634665,4.53421,82.7279
0.666398,4.68668,88.008
0.698132,4.78773,93.1223
0.729865,4.96656,98.1613
0.761598,5.12441,103.208
0.793331,5.29546,108.314
0.825065,5.42749,113.486
0.856798,5.6158,118.688
0.888531,5.71852,123.84
0.920265,5.83381,128.82
0.951998,5.96954,133.454
0.983731,6.03817,137.527
1.01546,6.12576,140.815
1.0472,6.17669,143.135
1.07893,6.20876,144.388
1.11066,6.21805,144.584
1.1424,6.2321,143.841
1.17413,6.14982,142.361
1.20586,6.06876,140.401
1.2376,6.09141,138.226
1.26933,6.10946,136.078
1.30106,6.09419,134.133
1.3328,6.06785,132.472
1.36453,6.06239,131.064
1.39626,6.02694,129.804
1.428,5.9876,128.557
1.45973,5.87653,127.212
1.49146,5.83001,125.71
1.5232,5.79801,124.048
1.55493,5.7653,122.272
1.58666,5.69718,120.478
1.6184,5.68635,118.802
1.65013,5.67191,117.396
1.68186,5.65012,116.395
1.7136,5.62952,115.876
1.74533,5.65417,115.85
1.77706,5.6688,116.244
1.8088,5.68456,116.909
1.84053,5.69835,117.639
1.87226,5.71385,118.203
1.904,5.72564,118.377
1.93573,5.7455,117.974
1.96746,5.69207,116.875
1.9992,5.64466,115.036
2.03093,5.62618,112.485
2.06266,5.58714,109.31
2.0944,5.50073,105.645
2.12613,5.38265,101.666
2.15786,5.34366,97.5807
2.18959,5.27925,93.6148
2.22133,5.14528,89.9784
2.25306,5.02326,86.8137
2.28479,4.99848,84.153
2.31653,4.90926,81.9108
2.34826,4.84102,79.9141
2.37999,4.72507,77.9516
2.41173,4.64347,75.8234
2.44346,4.54785,73.3808
2.47519,4.40353,70.5413
2.50693,4.3008,67.2828
2.53866,4.16719,63.6287
2.57039,4.08757,59.6368
2.60213,3.9665,55.3915
2.63386,3.75586,50.9937
2.66559,3.44277,46.5504
2.69733,3.27249,42.1606
2.72906,3.1059,37.9003
2.76079,2.8919,33.8055
2.79253,2.70169,29.8679
2.82426,2.53395,26.05
2.85599,2.22499,22.3132
2.88773,2.05405,18.6424
2.91946,1.7106,15.0601
2.95119,1.37645,11.628
2.98293,0.982426,8.43942
3.01466,0.58,5.60739
3.04639,0.42,3.24994
3.07813,0,1.4762
3.10986,0,0.373956
3.14159,0,1.81899e-12
