Theta,Radius,Area
0,0,0
0.0317333,0,0.237566
0.0634665,0,0.926456
0.0951998,0,2.00309
0.126933,0.33,3.38431
0.158666,0.788284,4.99188
0.1904,0.93799,6.77319
0.222133,1.02284,8.71323
0.253866,1.08184,10.836
0.285599,1.39473,13.1943
0.317333,1.6905,15.847
0.349066,1.87169,18.8315
0.380799,1.98406,22.1411
0.412532,2.07688,25.7203
0.444266,2.30723,29.4729
0.475999,2.5985,33.2802
0.507732,2.83641,37.0221
0.539465,2.96992,40.5982
0.571199,3.06076,43.9464
0.602932,3.21344,47.0539
0.634665,3.4063,49.9614
0.666398,3.55797,52.7599
0.698132,3.65036,55.5787
0.729865,3.70407,58.5631
0.761598,3.78693,61.8437
0.793331,3.8631,65.4999
0.825065,4.0233,69.5277
0.856798,4.2384,73.8206
0.888531,4.37945,78.1849
0.920265,4.49678,82.3903
0.951998,4.61232,86.2354
0.983731,4.72921,89.597
1.01546,4.79251,92.4472
1.0472,4.86324,94.8352
1.07893,4.97228,96.8429
1.11066,5.08391,98.5402
1.1424,5.15328,99.9644
1.17413,5.17641,101.129
1.20586,5.13273,102.044
1.2376,5.11085,102.724
1.26933,5.10299,103.188
1.30106,5.14781,103.442
1.3328,5.15277,103.478
1.36453,5.16878,103.277
1.39626,5.14947,102.831
1.428,5.13146,102.161
1.45973,5.0628,101.326
1.49146,5.04329,100.425
1.5232,4.94407,99.573
1.55493,4.88741,98.875
1.58666,4.92849,98.3812
1.6184,4.97493,98.0622
1.65013,4.96912,97.8099
1.68186,4.98013,97.4666
1.7136,4.98608,96.8699
1.74533,4.92923,95.8989
1.77706,4.86972,94.5058
1.8088,4.799,92.7239
1.84053,4.74023,90.6448
1.87226,4.66314,88.3787
1.904,4.56182,86.0266
1.93573,4.4573,83.6678
1.96746,4.40582,81.3399
1.9992,4.32277,79.0235
2.03093,4.21961,76.6537
2.06266,4.15696,74.1522
2.0944,4.05294,71.4661
2.12613,3.90053,68.6015
2.15786,3.78137,65.6404
2.18959,3.64889,62.7296
2.22133,3.54861,60.0363
2.25306,3.5148,57.6839
2.28479,3.47132,55.7172
2.31653,3.4482,54.1053
2.34826,3.36013,52.7571
2.37999,3.34748,51.5401
2.41173,3.30368,50.3044
2.44346,3.25363,48.9071
2.47519,3.2237,47.237
2.50693,3.12241,45.2347
2.53866,3.01062,42.9006
2.57039,2.81452,40.284
2.60213,2.70131,37.4567
2.63386,2.62176,34.4817
2.66559,2.50735,31.4
2.69733,2.36407,28.2407
2.72906,2.13565,25.0396
2.76079,1.94433,21.8472
2.79253,1.81351,18.7242
2.82426,1.65177,15.7321
2.85599,1.35765,12.9244
2.88773,1.02527,10.3429
2.91946,0.924558,8.01768
2.95119,0.807279,5.96859
2.98293,0.62,4.20654
3.01466,0.14,2.7369
3.04639,0,1.56589
3.07813,0,0.706589
3.10986,0,0.178525
3.14159,0,0
