Theta,Radius,Area
0,0,0
0.0317333,0,0.132744
0.0634665,0,0.535909
0.0951998,0,1.22341
0.126933,0,2.21539
0.158666,0.26,3.53344
0.1904,0.68,5.19396
0.222133,0.916274,7.20068
0.253866,1.10326,9.53848
0.285599,1.26507,12.1708
0.317333,1.55203,15.0417
0.349066,1.71613,18.0819
0.380799,1.94224,21.2185
0.412532,2.09944,24.3865
0.444266,2.24896,27.539
0.475999,2.41011,30.6518
0.507732,2.59187,33.7193
0.539465,2.74267,36.7412
0.571199,2.83691,39.708
0.602932,2.98044,42.594
0.634665,3.12118,45.3614
0.666398,3.30153,47.9773
0.698132,3.4073,50.4281
0.729865,3.48929,52.7183
0.761598,3.50903,54.8599
0.793331,3.60312,56.8714
0.825065,3.67174,58.7805
0.856798,3.74791,60.6184
0.888531,3.82604,62.4129
0.920265,3.91174,64.1886
0.951998,3.99657,65.9729
0.983731,4.06055,67.8005
1.01546,4.0981,69.7099
1.0472,4.14288,71.7306
1.07893,4.17742,73.8728
1.11066,4.28011,76.1292
1.1424,4.42032,78.485
1.17413,4.50091,80.9271
1.20586,4.52766,83.4398
1.2376,4.57412,85.9887
1.26933,4.66277,88.5029
1.30106,4.69662,90.8704
1.3328,4.74566,92.9539
1.36453,4.78113,94.6222
1.39626,4.83966,95.7831
1.428,4.91761,96.4053
1.45973,4.91527,96.5201
1.49146,4.90339,96.2029
1.5232,4.87452,95.549
1.55493,4.82435,94.6556
1.58666,4.7978,93.6205
1.6184,4.80233,92.5511
1.65013,4.78688,91.5727
1.68186,4.78914,90.8189
1.7136,4.7698,90.4065
1.74533,4.77368,90.408
1.77706,4.7636,90.838
1.8088,4.72674,91.6526
1.84053,4.74232,92.7561
1.87226,4.75204,94.0076
1.904,4.72929,95.2338
1.93573,4.7621,96.2469
1.96746,4.84425,96.867
1.9992,4.81546,96.9425
2.03093,4.77766,96.3664
2.06266,4.76663,95.0889
2.0944,4.70478,93.1269
2.12613,4.63222,90.564
2.15786,4.56099,87.5402
2.18959,4.49974,84.2297
2.22133,4.41817,80.8149
2.25306,4.20946,77.4602
2.28479,4.11907,74.2912
2.31653,4.0705,71.3788
2.34826,4.01542,68.7282
2.37999,3.94708,66.2751
2.41173,3.86044,63.8939
2.44346,3.71466,61.4217
2.47519,3.58267,58.6954
2.50693,3.41373,55.5922
2.53866,3.24255,52.0605
2.57039,3.11513,48.1311
2.60213,3.01961,43.9051
2.63386,2.87097,39.5243
2.66559,2.69264,35.1366
2.69733,2.44091,30.8697
2.72906,2.17861,26.8196
2.76079,2.05677,23.0514
2.79253,1.90755,19.6041
2.82426,1.57201,16.4933
2.85599,1.44077,13.711
2.88773,1.23355,11.2267
2.91946,1.07042,8.99477
2.95119,1.01071,6.97003
2.98293,0.81,5.12639
3.01466,0.36,3.47221
3.04639,0,2.05472
3.07813,0,0.950472
3.10986,0,0.24377
3.14159,0,0
