Theta,Radius,Area
0,0,0
0.0317333,0,1.22249
0.0634665,0.73,4.88363
0.0951998,1.09527,10.9677
0.126933,1.85638,19.4579
0.158666,2.47369,30.3487
0.1904,3.02308,43.6555
0.222133,3.6921,59.4179
0.253866,4.23311,77.6892
0.285599,4.9046,98.5115
0.317333,5.53836,121.88
0.349066,6.06797,147.707
0.380799,6.67396,175.803
0.412532,7.26655,205.881
0.444266,7.85262,237.581
0.475999,8.42344,270.505
0.507732,8.98894,304.249
0.539465,9.51999,338.4
0.571199,9.95432,372.511
0.602932,10.438,406.067
0.634665,10.8671,438.468
0.666398,11.3138,469.047
0.698132,11.6092,497.115
0.729865,11.8803,522.033
0.761598,12.151,543.265
0.793331,12.365,560.431
0.825065,12.52,573.326
0.856798,12.6082,581.92
0.888531,12.6703,586.351
0.920265,12.6608,586.907
0.951998,12.5845,584.009
0.983731,12.4568,578.122
1.01546,12.3271,569.663
1.0472,12.0999,558.981
1.07893,11.9108,546.478
1.11066,11.7213,532.735
1.1424,11.5282,518.579
1.17413,11.4047,505.073
1.20586,11.2895,493.419
1.2376,11.2586,484.792
1.26933,11.2438,480.131
1.30106,11.3528,479.972
1.3328,11.384,484.34
1.36453,11.5544,492.745
1.39626,11.6571,504.27
1.428,11.7994,517.707
1.45973,12.036,531.682
1.49146,12.2623,544.759
1.5232,12.3864,555.575
1.55493,12.4753,563.04
1.58666,12.4402,566.57
1.6184,12.4243,566.251
1.65013,12.4767,562.819
1.68186,12.3825,557.454
1.7136,12.367,551.433
1.74533,12.3768,545.79
1.77706,12.3452,541.084
1.8088,12.2581,537.323
1.84053,12.2156,533.988
1.87226,12.1569,530.106
1.904,12.0955,524.378
1.93573,11.9836,515.366
1.96746,11.7683,501.759
1.9992,11.5392,482.675
2.03093,11.2828,457.953
2.06266,10.8662,428.326
2.0944,10.3962,395.374
2.12613,9.91771,361.223
2.15786,9.48891,328.079
2.18959,8.96576,297.765
2.22133,8.51692,271.435
2.25306,8.11294,249.554
2.28479,7.78077,232.083
2.31653,7.53172,218.69
2.34826,7.39091,208.857
2.37999,7.2786,201.874
2.41173,7.1381,196.778
2.44346,7.0645,192.386
2.47519,7.05431,187.453
2.50693,6.90097,180.936
2.53866,6.69515,172.231
2.57039,6.42729,161.3
2.60213,6.14913,148.63
2.63386,5.82899,135.066
2.66559,5.48933,121.564
2.69733,5.18461,108.955
2.72906,4.90098,97.7907
2.76079,4.65198,88.2875
2.79253,4.38884,80.3281
2.82426,4.06805,73.4959
2.85599,3.9375,67.1539
2.88773,3.76802,60.5899
2.91946,3.42524,53.2012
2.95119,3.08041,44.6712
2.98293,2.7798,35.0935
3.01466,2.10409,25.0127
3.04639,1.70856,15.3606
3.07813,1.03314,7.28416
3.10986,0,1.89485
3.14159,0,4.54747e-13
