Theta,Radius,Area
0,0,0
0.0317333,0,0.481109
0.0634665,0,1.89919
0.0951998,0.27,4.18624
0.126933,1.04468,7.25124
0.158666,1.27006,11.0036
0.1904,1.48761,15.3727
0.222133,1.98568,20.3191
0.253866,2.29032,25.8373
0.285599,2.55637,31.9512
0.317333,2.86434,38.7015
0.349066,3.26172,46.1262
0.380799,3.533,54.232
0.412532,3.77581,62.9625
0.444266,4.19123,72.1767
0.475999,4.48765,81.6477
0.507732,4.74939,91.0875
0.539465,4.98516,100.188
0.571199,5.30803,108.664
0.602932,5.55902,116.289
0.634665,5.70886,122.913
0.666398,5.82884,128.462
0.698132,5.9564,132.938
0.729865,6.07484,136.414
0.761598,6.15634,139.028
0.793331,6.2303,140.973
0.825065,6.3081,142.469
0.856798,6.38079,143.721
0.888531,6.4155,144.882
0.920265,6.47527,146.023
0.951998,6.48198,147.129
0.983731,6.48071,148.116
1.01546,6.50855,148.86
1.0472,6.46452,149.241
1.07893,6.4658,149.161
1.11066,6.40864,148.555
1.1424,6.35292,147.391
1.17413,6.33918,145.699
1.20586,6.27432,143.632
1.2376,6.23234,141.321
1.26933,6.13373,138.631
1.30106,6.03473,135.396
1.3328,5.9421,131.588
1.36453,5.83578,127.285
1.39626,5.73866,122.622
1.428,5.59348,117.743
1.45973,5.48035,112.766
1.49146,5.34001,107.767
1.5232,5.2285,102.787
1.55493,5.0881,97.8746
1.58666,4.92798,93.1336
1.6184,4.77142,88.7171
1.65013,4.64087,84.7721
1.68186,4.55399,81.3675
1.7136,4.45401,78.4551
1.74533,4.37756,75.9082
1.77706,4.27587,73.5812
1.8088,4.09705,71.3268
1.84053,3.96992,69.0074
1.87226,3.91615,66.5222
1.904,3.81805,63.8307
1.93573,3.6925,60.9524
1.96746,3.54393,57.9442
1.9992,3.45859,54.8624
2.03093,3.29292,51.7377
2.06266,3.15107,48.5917
2.0944,2.96924,45.4692
2.12613,2.84316,42.4474
2.15786,2.79065,39.6235
2.18959,2.68128,37.1008
2.22133,2.55181,34.9789
2.25306,2.51067,33.3366
2.28479,2.44501,32.1851
2.31653,2.41944,31.4345
2.34826,2.40939,30.9325
2.37999,2.39294,30.5247
2.41173,2.35366,30.0908
2.44346,2.34346,29.5705
2.47519,2.34252,28.9762
2.50693,2.35042,28.3678
2.53866,2.30625,27.7885
2.57039,2.28852,27.2088
2.60213,2.21023,26.5295
2.63386,2.25471,25.6462
2.66559,2.29419,24.519
2.69733,2.30183,23.2024
2.72906,2.29642,21.8131
2.76079,2.27449,20.4567
2.79253,2.18469,19.1623
2.82426,2.1023,17.8684
2.85599,1.98599,16.456
2.88773,1.7624,14.7993
2.91946,1.62313,12.819
2.95119,1.43888,10.5253
2.98293,1.02225,8.03417
3.01466,0.636274,5.54674
3.04639,0.37,3.30223
3.07813,0,1.52565
3.10986,0,0.390029
3.14159,0,2.57244e-12
