Theta,Radius,Area
0,0,0
0.0317333,0,0.432736
0.0634665,0,1.72787
0.0951998,0.524142,3.87496
0.126933,0.897696,6.8528
0.158666,1.18249,10.6248
0.1904,1.69873,15.1354
0.222133,1.99964,20.3092
0.253866,2.21895,26.0554
0.285599,2.62835,32.2743
0.317333,2.99809,38.8642
0.349066,3.22356,45.7242
0.380799,3.51024,52.7502
0.412532,3.82922,59.8289
0.444266,4.11953,66.8327
0.475999,4.31914,73.6244
0.507732,4.55738,80.0717
0.539465,4.7533,86.068
0.571199,4.91425,91.5486
0.602932,5.0511,96.4964
0.634665,5.21106,100.936
0.666398,5.34891,104.919
0.698132,5.4568,108.509
0.729865,5.57646,111.774
0.761598,5.65639,114.778
0.793331,5.70969,117.577
0.825065,5.79749,120.22
0.856798,5.85761,122.729
0.888531,5.95955,125.082
0.920265,5.9738,127.212
0.951998,6.02109,129.019
0.983731,6.04583,130.403
1.01546,6.06229,131.307
1.0472,6.07109,131.735
1.07893,6.04818,131.758
1.11066,6.04697,131.486
1.1424,6.0211,131.02
1.17413,6.01499,130.415
1.20586,5.99098,129.668
1.2376,5.96471,128.726
1.26933,5.93666,127.537
1.30106,5.87021,126.07
1.3328,5.81963,124.308
1.36453,5.76795,122.286
1.39626,5.71501,120.082
1.428,5.63318,117.717
1.45973,5.56563,115.109
1.49146,5.44051,112.165
1.5232,5.36168,108.845
1.55493,5.20564,105.181
1.58666,5.11333,101.263
1.6184,4.98609,97.2062
1.65013,4.8707,93.1365
1.68186,4.72456,89.1614
1.7136,4.63589,85.3543
1.74533,4.53648,81.7377
1.77706,4.46,78.275
1.8088,4.3275,74.8844
1.84053,4.16737,71.4806
1.87226,4.01143,68.0229
1.904,3.89861,64.5419
1.93573,3.76516,61.1362
1.96746,3.63045,57.9432
1.9992,3.47486,55.0726
2.03093,3.35672,52.5311
2.06266,3.25661,50.23
2.0944,3.14222,48.0657
2.12613,3.02722,45.9833
2.15786,2.94353,43.9959
2.18959,2.89141,42.1728
2.22133,2.82042,40.6065
2.25306,2.71535,39.3605
2.28479,2.70153,38.4233
2.31653,2.70226,37.7234
2.34826,2.68341,37.1672
2.37999,2.67544,36.6523
2.41173,2.66606,36.0769
2.44346,2.6839,35.3588
2.47519,2.60406,34.4552
2.50693,2.53666,33.3658
2.53866,2.49526,32.1149
2.57039,2.46489,30.7258
2.60213,2.41049,29.2122
2.63386,2.3984,27.593
2.66559,2.19752,25.9143
2.69733,2.14488,24.2539
2.72906,2.15052,22.6983
2.76079,2.14282,21.3006
2.79253,2.12897,20.0473
2.82426,2.08135,18.8473
2.85599,1.97474,17.5495
2.88773,1.78903,15.9952
2.91946,1.71046,14.0773
2.95119,1.57024,11.7782
2.98293,1.19662,9.18596
3.01466,0.819828,6.489
3.04639,0.39,3.94972
3.07813,0,1.85914
3.10986,0,0.481256
3.14159,0,0
