Theta,Radius,Area
0,0,0
0.0317333,0,0.276064
0.0634665,0,1.06833
0.0951998,0,2.2799
0.126933,0.12,3.78013
0.158666,0.748995,5.43693
0.1904,1.00799,7.14426
0.222133,1.08941,8.83968
0.253866,1.13255,10.5087
0.285599,1.24255,12.1764
0.317333,1.32212,13.8922
0.349066,1.46393,15.718
0.380799,1.67025,17.7168
0.412532,1.83195,19.9258
0.444266,2.01642,22.3199
0.475999,2.22577,24.7967
0.507732,2.31794,27.1983
0.539465,2.38705,29.3616
0.571199,2.47043,31.1824
0.602932,2.54167,32.6589
0.634665,2.6323,33.9
0.666398,2.67695,35.0999
0.698132,2.71034,36.4877
0.729865,2.84251,38.2579
0.761598,2.92569,40.5202
0.793331,3.07247,43.299
0.825065,3.24462,46.5274
0.856798,3.38953,50.0354
0.888531,3.44262,53.5823
0.920265,3.54838,56.916
0.951998,3.61924,59.825
0.983731,3.71714,62.1778
1.01546,3.79858,63.9435
1.0472,3.85826,65.1941
1.07893,3.91192,66.0888
1.11066,3.9529,66.8447
1.1424,3.98425,67.6927
1.17413,4.03749,68.8284
1.20586,4.16537,70.3768
1.2376,4.25034,72.3774
1.26933,4.31303,74.7827
1.30106,4.34954,77.4639
1.3328,4.44116,80.224
1.36453,4.47794,82.8217
1.39626,4.53141,85.008
1.428,4.55774,86.5736
1.45973,4.55525,87.3961
1.49146,4.56432,87.4714
1.5232,4.55678,86.9181
1.55493,4.57478,85.9485
1.58666,4.56686,84.8154
1.6184,4.53994,83.7512
1.65013,4.59352,82.9232
1.68186,4.5897,82.4147
1.7136,4.56656,82.2306
1.74533,4.56298,82.3188
1.77706,4.55296,82.5977
1.8088,4.55016,82.9777
1.84053,4.57148,83.3667
1.87226,4.57448,83.6633
1.904,4.53172,83.7551
1.93573,4.49168,83.5328
1.96746,4.49909,82.9177
1.9992,4.45952,81.8843
2.03093,4.41948,80.4605
2.06266,4.37854,78.7072
2.0944,4.28759,76.6921
2.12613,4.20112,74.4706
2.15786,4.10012,72.0795
2.18959,4.00814,69.5454
2.22133,3.94358,66.9014
2.25306,3.83305,64.2039
2.28479,3.78674,61.5348
2.31653,3.71387,58.9843
2.34826,3.55743,56.6218
2.37999,3.46914,54.4674
2.41173,3.39283,52.4781
2.44346,3.33049,50.5547
2.47519,3.22195,48.5677
2.50693,3.11066,46.3917
2.53866,3.00061,43.9346
2.57039,2.91632,41.1532
2.60213,2.78695,38.056
2.63386,2.66663,34.6989
2.66559,2.45968,31.1796
2.69733,2.28824,27.6252
2.72906,2.0027,24.1708
2.76079,1.86613,20.9321
2.79253,1.745,17.9805
2.82426,1.53016,15.3326
2.85599,1.29654,12.9561
2.88773,1.14623,10.7916
2.91946,0.968995,8.7826
2.95119,0.746569,6.89705
2.98293,0.62,5.13289
3.01466,0.28,3.51658
3.04639,0,2.10456
3.07813,0,0.983282
3.10986,0,0.253939
3.14159,0,0
