Theta,Radius,Area
0,0,0
0.0317333,0,0.239209
0.0634665,0,0.94695
0.0951998,0,2.09257
0.126933,0.09,3.62364
0.158666,0.689706,5.46885
0.1904,0.970416,7.54678
0.222133,1.09113,9.77778
0.253866,1.30815,12.0945
0.285599,1.54568,14.4484
0.317333,1.65848,16.8148
0.349066,1.76462,19.1958
0.380799,1.8662,21.6198
0.412532,2.11349,24.1314
0.444266,2.32578,26.7735
0.475999,2.46748,29.5688
0.507732,2.63399,32.5059
0.539465,2.74508,35.5318
0.571199,2.85611,38.5552
0.602932,2.90704,41.4676
0.634665,2.96425,44.1777
0.666398,3.08908,46.6457
0.698132,3.19257,48.8991
0.729865,3.31544,51.0268
0.761598,3.45828,53.1568
0.793331,3.56103,55.4288
0.825065,3.65729,57.9681
0.856798,3.74747,60.8644
0.888531,3.81691,64.1535
0.920265,3.88541,67.8033
0.951998,4.04622,71.708
0.983731,4.21541,75.6971
1.01546,4.34001,79.5607
1.0472,4.49247,83.0846
1.07893,4.59603,86.081
1.11066,4.62378,88.4094
1.1424,4.67697,89.9886
1.17413,4.65631,90.8021
1.20586,4.68405,90.9018
1.2376,4.70217,90.4094
1.26933,4.71031,89.5149
1.30106,4.72802,88.4636
1.3328,4.75918,87.5261
1.36453,4.77657,86.9427
1.39626,4.75843,86.8429
1.428,4.78304,87.176
1.45973,4.79898,87.7146
1.49146,4.78837,88.1458
1.5232,4.76491,88.1899
1.55493,4.7323,87.6816
1.58666,4.70141,86.5953
1.6184,4.67478,85.0272
1.65013,4.61593,83.1517
1.68186,4.55642,81.1751
1.7136,4.49471,79.2951
1.74533,4.43146,77.6703
1.77706,4.37492,76.4036
1.8088,4.35199,75.5333
1.84053,4.3414,75.0216
1.87226,4.34068,74.7481
1.904,4.35139,74.5153
1.93573,4.29315,74.0809
1.96746,4.2596,73.214
1.9992,4.20747,71.7573
2.03093,4.164,69.6685
2.06266,4.07209,67.028
2.0944,3.97513,64.0145
2.12613,3.8523,60.861
2.15786,3.66667,57.8057
2.18959,3.53599,55.0488
2.22133,3.44022,52.7212
2.25306,3.38074,50.8676
2.28479,3.29441,49.4423
2.31653,3.26684,48.3224
2.34826,3.21742,47.3337
2.37999,3.21136,46.2838
2.41173,3.15719,44.9954
2.44346,3.06833,43.338
2.47519,3.00598,41.2509
2.50693,2.90492,38.7525
2.53866,2.76223,35.9309
2.57039,2.6243,32.9143
2.60213,2.50045,29.8378
2.63386,2.31605,26.8189
2.66559,2.0714,23.9429
2.69733,1.96847,21.2582
2.72906,1.77335,18.7835
2.76079,1.65905,16.5183
2.79253,1.54832,14.4498
2.82426,1.32714,12.5528
2.85599,1.07941,10.7901
2.88773,0.996985,9.11738
2.91946,0.866274,7.49612
2.95119,0.734853,5.91052
2.98293,0.53,4.38092
3.01466,0.43,2.96464
3.04639,0.08,1.74265
3.07813,0,0.799133
3.10986,0,0.203527
3.14159,0,0
