Theta,Radius,Area
0,0,0
0.0317333,0,0.421429
0.0634665,0,1.67937
0.0951998,0.39,3.75392
0.126933,0.702426,6.60929
0.158666,1.28349,10.1915
0.1904,1.55845,14.4289
0.222133,1.8979,19.2368
0.253866,2.13452,24.5237
0.285599,2.41303,30.1952
0.317333,2.82976,36.1547
0.349066,3.07182,42.3031
0.380799,3.37434,48.5417
0.412532,3.59305,54.7807
0.444266,3.7722,60.9506
0.475999,3.90459,67.0114
0.507732,4.05293,72.9539
0.539465,4.25296,78.7929
0.571199,4.57838,84.5524
0.602932,4.86388,90.2499
0.634665,4.99365,95.8838
0.666398,5.08345,101.426
0.698132,5.20293,106.821
0.729865,5.36911,111.992
0.761598,5.53387,116.849
0.793331,5.6704,121.309
0.825065,5.74925,125.3
0.856798,5.8018,128.767
0.888531,5.88714,131.653
0.920265,5.91005,133.882
0.951998,5.9747,135.343
0.983731,5.96471,135.896
1.01546,5.98455,135.398
1.0472,5.96736,133.754
1.07893,5.89974,130.949
1.11066,5.82048,127.083
1.1424,5.76988,122.36
1.17413,5.61016,117.057
1.20586,5.49954,111.469
1.2376,5.40246,105.858
1.26933,5.26442,100.421
1.30106,5.15308,95.2762
1.3328,4.99569,90.4618
1.36453,4.85975,85.9545
1.39626,4.75495,81.6976
1.428,4.65274,77.6235
1.45973,4.60005,73.6859
1.49146,4.55091,69.924
1.5232,4.45149,66.6224
1.55493,4.40772,63.8057
1.58666,4.37111,61.3216
1.6184,4.35687,59.0835
1.65013,4.2937,57.0886
1.68186,4.29117,55.3836
1.7136,4.27041,54.0178
1.74533,4.26265,53.0538
1.77706,4.25557,52.5227
1.8088,4.22656,52.4423
1.84053,4.2345,52.69
1.87226,4.26155,53.1527
1.904,4.26308,53.5376
1.93573,4.26702,53.6472
1.96746,4.25288,53.458
1.9992,4.19734,53.0524
2.03093,4.14599,52.5321
2.06266,4.11511,51.9487
2.0944,4.05538,51.3183
2.12613,3.95464,50.7154
2.15786,3.89407,50.2721
2.18959,3.89995,50.1238
2.22133,3.85689,50.3934
2.25306,3.77333,51.0761
2.28479,3.72826,52.051
2.31653,3.71878,53.1173
2.34826,3.68805,54.0033
2.37999,3.6732,54.4518
2.41173,3.71946,54.3986
2.44346,3.72385,53.9168
2.47519,3.73595,53.1834
2.50693,3.7609,52.4701
2.53866,3.77137,52.0401
2.57039,3.76337,52.0613
2.60213,3.75644,52.1898
2.63386,3.74506,52.1837
2.66559,3.72959,51.7902
2.69733,3.65053,50.7566
2.72906,3.52811,48.868
2.76079,3.35733,45.9855
2.79253,3.23427,42.0809
2.82426,2.99868,37.2586
2.85599,2.73426,31.755
2.88773,2.43727,25.9095
2.91946,2.07924,20.1097
2.95119,1.67398,14.7254
2.98293,1.3721,10.0488
3.01466,0.817924,6.25751
3.04639,0.54,3.41012
3.07813,0.13,1.47159
3.10986,0,0.360289
3.14159,0,0
