Theta,Radius,Area
0,0,0
0.0317333,0,0.247145
0.0634665,0,1.04362
0.0951998,0.22,2.53909
0.126933,0.56,4.93258
0.158666,0.978995,8.40343
0.1904,1.3904,13.0331
0.222133,1.81806,18.7425
0.253866,2.09949,25.2714
0.285599,2.54828,32.2165
0.317333,2.84525,39.122
0.349066,3.09294,45.5937
0.380799,3.30883,51.3968
0.412532,3.54653,56.5034
0.444266,3.67852,61.0778
0.475999,3.83617,65.4129
0.507732,3.97441,69.8454
0.539465,4.18714,74.6774
0.571199,4.36571,80.119
0.602932,4.56392,86.2531
0.634665,4.75585,93.0149
0.666398,4.906,100.187
0.698132,5.18428,107.421
0.729865,5.31498,114.297
0.761598,5.47851,120.406
0.793331,5.66026,125.441
0.825065,5.74033,129.255
0.856798,5.80822,131.877
0.888531,5.85304,133.489
0.920265,5.85373,134.368
0.951998,5.87648,134.826
0.983731,5.86925,135.138
1.01546,5.85593,135.489
1.0472,5.84068,135.922
1.07893,5.89264,136.327
1.11066,5.88927,136.451
1.1424,5.89153,135.961
1.17413,5.82341,134.532
1.20586,5.74229,131.929
1.2376,5.66176,128.08
1.26933,5.54559,123.086
1.30106,5.38893,117.205
1.3328,5.28365,110.81
1.36453,5.14158,104.335
1.39626,5.03672,98.195
1.428,4.90216,92.6852
1.45973,4.74632,87.869
1.49146,4.63515,83.5896
1.5232,4.53481,79.638
1.55493,4.45901,75.9299
1.58666,4.40267,72.4974
1.6184,4.357,69.3011
1.65013,4.23434,66.3517
1.68186,4.16289,63.6871
1.7136,4.1219,61.3913
1.74533,4.08317,59.5873
1.77706,4.09516,58.2885
1.8088,4.0462,57.5562
1.84053,4.05061,57.3422
1.87226,4.03161,57.474
1.904,4.03956,57.8483
1.93573,4.01229,58.3722
1.96746,3.99319,58.9188
1.9992,3.9716,59.349
2.03093,3.93368,59.5675
2.06266,3.90809,59.3549
2.0944,3.87715,58.5753
2.12613,3.84654,57.2939
2.15786,3.82911,55.7128
2.18959,3.79778,54.1209
2.22133,3.77786,52.821
2.25306,3.72484,52.0348
2.28479,3.67117,51.8398
2.31653,3.67011,52.1888
2.34826,3.68354,52.963
2.37999,3.76641,54.0129
2.41173,3.78811,55.1862
2.44346,3.79577,56.3499
2.47519,3.7869,57.4501
2.50693,3.76125,58.3777
2.53866,3.74349,58.7807
2.57039,3.69083,58.4072
2.60213,3.63929,57.1428
2.63386,3.52318,55.0043
2.66559,3.37297,52.174
2.69733,3.23358,48.807
2.72906,3.10004,44.9801
2.76079,2.9732,40.8093
2.79253,2.78099,36.4185
2.82426,2.54121,31.9038
2.85599,2.33062,27.3348
2.88773,2.10159,22.7751
2.91946,1.84732,18.3055
2.95119,1.55949,14.0361
2.98293,1.31456,10.1035
3.01466,0.810711,6.65384
3.04639,0.51,3.82379
3.07813,0.05,1.72457
3.10986,0,0.43482
3.14159,0,0
