Theta,Radius,Area
0,0,0
0.0317333,0,0.60343
0.0634665,0.11,2.39174
0.0951998,0.53,5.2994
0.126933,1.01288,9.22008
0.158666,1.62544,14.0147
0.1904,1.80162,19.5271
0.222133,2.18106,25.6048
0.253866,2.58345,32.1222
0.285599,2.91023,38.998
0.317333,3.24832,46.2019
0.349066,3.44644,53.747
0.380799,3.84921,61.6687
0.412532,4.16898,69.9957
0.444266,4.51941,78.7236
0.475999,4.78351,87.8013
0.507732,4.99632,97.1343
0.539465,5.27603,106.602
0.571199,5.55881,116.081
0.602932,5.7975,125.465
0.634665,6.02696,134.67
0.666398,6.18579,143.631
0.698132,6.39489,152.289
0.729865,6.65017,160.583
0.761598,6.8187,168.439
0.793331,6.99492,175.786
0.825065,7.1676,182.571
0.856798,7.2881,188.775
0.888531,7.37282,194.417
0.920265,7.49443,199.538
0.951998,7.54826,204.167
0.983731,7.65855,208.288
1.01546,7.7455,211.821
1.0472,7.77496,214.643
1.07893,7.80828,216.633
1.11066,7.85711,217.723
1.1424,7.8812,217.937
1.17413,7.82539,217.394
1.20586,7.84261,216.28
1.2376,7.84406,214.801
1.26933,7.79555,213.132
1.30106,7.76133,211.396
1.3328,7.70791,209.658
1.36453,7.66494,207.935
1.39626,7.62207,206.209
1.428,7.56628,204.445
1.45973,7.53893,202.601
1.49146,7.50326,200.632
1.5232,7.48017,198.509
1.55493,7.46272,196.23
1.58666,7.34963,193.843
1.6184,7.33915,191.445
1.65013,7.30608,189.159
1.68186,7.23599,187.102
1.7136,7.20663,185.336
1.74533,7.22342,183.857
1.77706,7.16767,182.596
1.8088,7.14745,181.449
1.84053,7.14645,180.305
1.87226,7.13181,179.068
1.904,7.13429,177.67
1.93573,7.14523,176.072
1.96746,7.13837,174.258
1.9992,7.14283,172.222
2.03093,7.11321,169.946
2.06266,7.10951,167.404
2.0944,7.08733,164.563
2.12613,7.00551,161.4
2.15786,6.97288,157.909
2.18959,6.93326,154.114
2.22133,6.83785,150.057
2.25306,6.76112,145.775
2.28479,6.65959,141.27
2.31653,6.51042,136.498
2.34826,6.38748,131.381
2.37999,6.23174,125.836
2.41173,6.09724,119.809
2.44346,5.8727,113.305
2.47519,5.70834,106.411
2.50693,5.51177,99.2753
2.53866,5.29068,92.0601
2.57039,5.07685,84.8992
2.60213,4.83888,77.8635
2.63386,4.50324,70.9561
2.66559,4.19852,64.1363
2.69733,3.94795,57.3606
2.72906,3.63954,50.6202
2.76079,3.44159,43.9559
2.79253,3.09831,37.4521
2.82426,2.84556,31.2176
2.85599,2.34184,25.3628
2.88773,2.13117,19.9847
2.91946,1.84815,15.1611
2.95119,1.55029,10.9556
2.98293,0.993948,7.42144
3.01466,0.755685,4.59625
3.04639,0.459706,2.48836
3.07813,0,1.06496
3.10986,0,0.258753
3.14159,0,0
