Theta,Radius,Area
0,0,0
0.0317333,0,0.565572
0.0634665,0,2.23614
0.0951998,0.75,4.94256
0.126933,1.05385,8.59752
0.158666,1.34426,13.1275
0.1904,1.8607,18.5
0.222133,2.09994,24.7323
0.253866,2.56231,31.8749
0.285599,2.89086,39.9727
0.317333,3.36219,49.025
0.349066,3.68252,58.9647
0.380799,4.04285,69.6635
0.412532,4.39431,80.9527
0.444266,4.77327,92.6465
0.475999,5.17232,104.557
0.507732,5.42659,116.501
0.539465,5.69539,128.304
0.571199,6.02402,139.81
0.602932,6.33783,150.901
0.634665,6.5936,161.51
0.666398,6.74667,171.624
0.698132,6.96735,181.276
0.729865,7.21953,190.534
0.761598,7.35524,199.488
0.793331,7.58389,208.249
0.825065,7.71582,216.945
0.856798,7.86592,225.704
0.888531,8.02494,234.61
0.920265,8.24442,243.655
0.951998,8.43349,252.7
0.983731,8.52628,261.466
1.01546,8.62097,269.572
1.0472,8.79785,276.615
1.07893,8.81595,282.263
1.11066,8.8601,286.331
1.1424,8.90191,288.814
1.17413,8.94063,289.879
1.20586,8.98144,289.827
1.2376,8.98454,289.044
1.26933,8.97177,287.964
1.30106,8.9827,287.029
1.3328,8.98284,286.647
1.36453,8.97445,287.149
1.39626,8.97673,288.739
1.428,9.01603,291.462
1.45973,9.10042,295.206
1.49146,9.16677,299.731
1.5232,9.22042,304.719
1.55493,9.23688,309.823
1.58666,9.28872,314.714
1.6184,9.41267,319.102
1.65013,9.44012,322.765
1.68186,9.49714,325.564
1.7136,9.48814,327.449
1.74533,9.50869,328.452
1.77706,9.4915,328.668
1.8088,9.49991,328.22
1.84053,9.47008,327.224
1.87226,9.46145,325.761
1.904,9.41991,323.858
1.93573,9.41644,321.479
1.96746,9.38565,318.523
1.9992,9.2989,314.839
2.03093,9.17897,310.263
2.06266,9.1263,304.665
2.0944,9.04306,297.99
2.12613,8.89419,290.291
2.15786,8.73357,281.727
2.18959,8.59948,272.531
2.22133,8.43082,262.959
2.25306,8.26336,253.229
2.28479,8.15413,243.48
2.31653,8.00885,233.756
2.34826,7.73231,224.02
2.37999,7.58471,214.179
2.41173,7.39982,204.125
2.44346,7.19932,193.757
2.47519,6.93408,183.004
2.50693,6.77833,171.839
2.53866,6.52137,160.275
2.57039,6.18493,148.369
2.60213,5.8962,136.208
2.63386,5.62277,123.909
2.66559,5.26435,111.602
2.69733,4.94357,99.425
2.72906,4.53523,87.5097
2.76079,4.15931,75.9799
2.79253,3.80372,64.9506
2.82426,3.50954,54.5277
2.85599,3.08951,44.8073
2.88773,2.64299,35.8741
2.91946,2.32364,27.8018
2.95119,1.95004,20.6545
2.98293,1.41319,14.4887
3.01466,1.07042,9.35573
3.04639,0.81,5.30223
3.07813,0,2.37018
3.10986,0,0.59472
3.14159,0,3.48193e-12
