Theta,Radius,Area
0,0,0
0.0317333,0,0.642369
0.0634665,0,2.55528
0.0951998,0.89,5.69871
0.126933,1.09527,10.0138
0.158666,1.5639,15.433
0.1904,2.01651,21.8893
0.222133,2.30866,29.3229
0.253866,2.83876,37.6826
0.285599,3.19308,46.9222
0.317333,3.6297,56.992
0.349066,4.01953,67.8276
0.380799,4.32414,79.3328
0.412532,4.7495,91.362
0.444266,5.01777,103.708
0.475999,5.45148,116.106
0.507732,5.74865,128.259
0.539465,5.9652,139.887
0.571199,6.211,150.78
0.602932,6.46719,160.841
0.634665,6.69721,170.116
0.666398,6.89672,178.784
0.698132,7.07372,187.122
0.729865,7.24893,195.445
0.761598,7.42737,204.036
0.793331,7.62943,213.079
0.825065,7.82892,222.622
0.856798,8.02373,232.559
0.888531,8.18583,242.654
0.920265,8.30887,252.578
0.951998,8.52725,261.954
0.983731,8.59863,270.4
1.01546,8.70634,277.579
1.0472,8.86154,283.256
1.07893,8.91814,287.346
1.11066,8.93243,289.953
1.1424,8.97126,291.371
1.17413,8.97934,292.047
1.20586,8.97106,292.505
1.2376,8.99913,293.251
1.26933,8.99884,294.684
1.30106,9.05897,297.022
1.3328,9.11091,300.291
1.36453,9.16238,304.341
1.39626,9.25027,308.902
1.428,9.32124,313.647
1.45973,9.38379,318.263
1.49146,9.47263,322.5
1.5232,9.53338,326.195
1.55493,9.56114,329.266
1.58666,9.58765,331.683
1.6184,9.62391,333.434
1.65013,9.61139,334.51
1.68186,9.60103,334.908
1.7136,9.59291,334.649
1.74533,9.53456,333.797
1.77706,9.55009,332.455
1.8088,9.52013,330.745
1.84053,9.49653,328.774
1.87226,9.43455,326.592
1.904,9.42836,324.168
1.93573,9.39268,321.391
1.96746,9.32927,318.102
1.9992,9.30876,314.13
2.03093,9.22444,309.333
2.06266,9.16173,303.615
2.0944,9.03599,296.942
2.12613,8.8553,289.325
2.15786,8.74037,280.822
2.18959,8.59293,271.519
2.22133,8.42649,261.529
2.25306,8.25449,250.974
2.28479,8.06574,239.981
2.31653,7.87432,228.675
2.34826,7.64498,217.171
2.37999,7.43026,205.577
2.41173,7.18648,193.994
2.44346,6.99304,182.518
2.47519,6.71623,171.233
2.50693,6.51717,160.191
2.53866,6.21554,149.4
2.57039,5.9532,138.816
2.60213,5.7244,128.35
2.63386,5.45453,117.897
2.66559,5.21135,107.366
2.69733,4.90852,96.7126
2.72906,4.59476,85.9555
2.76079,4.234,75.1834
2.79253,3.78502,64.5414
2.82426,3.41366,54.211
2.85599,3.04827,44.3876
2.88773,2.63673,35.2613
2.91946,2.27535,27.002
2.95119,1.9345,19.7488
2.98293,1.40027,13.6005
3.01466,1.00627,8.61066
3.04639,0.62,4.78795
3.07813,0,2.10627
3.10986,0,0.522857
3.14159,0,0
